label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,833020.3,242.5,346.1,119748,39085,1930176241,9873025665,0.0012
master,master,30,0,2,830388.1,242.7,345.8,115516,37018,1924440143,9904477052,0.0012
master,master,30,0,3,830209.0,242.6,347.1,114851,37090,1927672552,9901746653,0.0012
master,master,30,0,4,831018.9,242.1,347.0,121766,37971,1926111321,9839183905,0.0012
master,master,30,0,5,830799.3,241.5,346.9,121817,38418,1929547361,9824602099,0.0012
master,master,30,0,6,830217.1,242.5,344.9,124353,41587,1926870449,9858164237,0.0013
master,master,30,0,7,831063.5,241.8,345.8,122274,38439,1931500164,9798802564,0.0012
master,master,30,0,8,832628.4,242.2,344.5,112963,36648,1925381649,9847811216,0.0011
master,master,30,0,9,831434.2,242.5,346.7,110388,35176,1925241596,9867820858,0.0011
master,master,30,0,10,831353.0,241.1,345.2,125349,39915,1925647979,9810780549,0.0013
N0,0,30,0,1,1162031.8,167.6,283.1,566963,157332,2954039355,11981920137,0.0047
N0,0,30,0,2,1160309.8,168.6,289.2,544071,153190,2948681034,11955083890,0.0046
N0,0,30,0,3,1160335.7,168.4,285.1,552194,155881,2953437028,11987700525,0.0046
N0,0,30,0,4,1160414.0,168.1,284.8,559232,157588,2951480604,11909919729,0.0047
N0,0,30,0,5,1159790.5,168.1,285.0,552439,155741,2957937131,11948376241,0.0046
N0,0,30,0,6,1158471.5,169.0,290.3,526791,150053,2952944485,11910836178,0.0044
N0,0,30,0,7,1158624.3,168.9,288.7,530603,151818,2947389179,11952054002,0.0044
N0,0,30,0,8,1166528.0,162.0,258.4,559973,157302,2954789152,12225269650,0.0046
N0,0,30,0,9,1161254.1,168.5,290.7,537717,152907,2953559979,11904391331,0.0045
N0,0,30,0,10,1160333.4,168.1,281.7,560258,155512,2934673267,11917596908,0.0047
N1,1,30,30,1,1129362.5,174.4,304.1,498442,139585,2993282031,11998670051,0.0042
N1,1,30,30,2,1129302.4,174.7,300.4,465058,135735,3002565835,11973018984,0.0039
N1,1,30,30,3,1129699.1,174.1,296.8,491403,141426,2998932552,11992370140,0.0041
N1,1,30,30,4,1129587.0,174.8,306.2,487451,137979,2997040339,11992750294,0.0041
N1,1,30,30,5,1131264.2,170.1,286.5,528891,154951,2999565620,12192303833,0.0043
N1,1,30,30,6,1129826.2,171.9,295.0,518066,144026,2993117807,12058711347,0.0043
N1,1,30,30,7,1127939.3,174.9,304.3,471922,135228,2996205118,12009478536,0.0039
N1,1,30,30,8,1128830.7,173.2,295.8,496726,142989,3003974740,12002058994,0.0041
N1,1,30,30,9,1129752.2,173.5,298.2,501072,143123,3004462313,12051127710,0.0042
N1,1,30,30,10,1129989.7,174.2,301.7,493503,139266,2996456794,11985360114,0.0041
N2,2,30,60,1,1065632.8,179.8,311.0,384466,102054,2827754424,10813649945,0.0036
N2,2,30,60,2,1067093.1,178.8,307.5,393457,105538,2831110268,10811791236,0.0036
N2,2,30,60,3,1066120.4,179.4,310.5,373372,100447,2827217867,10798087641,0.0035
N2,2,30,60,4,1067513.8,178.6,307.8,420944,111312,2830823870,10802022422,0.0039
N2,2,30,60,5,1070564.8,176.8,306.0,444929,119703,2834373876,10804635644,0.0041
N2,2,30,60,6,1067153.8,178.8,308.6,408639,109426,2835094890,10789531642,0.0038
N2,2,30,60,7,1067448.8,179.3,314.3,381822,103938,2827959070,10804322771,0.0035
N2,2,30,60,8,1067479.0,178.5,307.2,419509,111069,2826092084,10806084311,0.0039
N2,2,30,60,9,1066622.8,179.4,309.1,394493,105007,2829730931,10743776214,0.0037
N2,2,30,60,10,1067531.7,178.2,307.4,430354,113140,2832383477,10797845252,0.0040
N3,3,30,90,1,1165876.0,161.3,284.0,568101,157442,3051274153,11923017926,0.0048
N3,3,30,90,2,1166163.9,161.6,289.1,547525,153508,3044016914,11903739894,0.0046
N3,3,30,90,3,1167235.2,159.9,273.9,591526,166140,3049571603,11952800614,0.0049
N3,3,30,90,4,1167846.4,158.0,273.4,596423,168715,3043489567,12091587388,0.0049
N3,3,30,90,5,1165394.3,161.3,283.2,562959,159241,3059215776,11923434296,0.0047
N3,3,30,90,6,1174346.7,154.7,261.1,569301,164419,3058651694,12342155772,0.0046
N3,3,30,90,7,1167444.8,158.4,272.0,610395,170132,3049899368,12022306033,0.0051
N3,3,30,90,8,1170852.9,155.3,266.6,572831,166414,3054951712,12287625629,0.0047
N3,3,30,90,9,1166049.3,161.0,284.7,567530,162537,3052809193,11961458003,0.0047
N3,3,30,90,10,1165539.7,162.2,290.3,544135,152713,3047331710,11885368279,0.0046
N4,4,30,120,1,1105918.8,168.0,309.2,465408,129536,2836971594,11072039517,0.0042
N4,4,30,120,2,1105754.9,168.4,306.6,431270,122810,2836470954,11015176393,0.0039
N4,4,30,120,3,1106204.1,167.8,304.4,483072,134255,2844739525,11074280439,0.0044
N4,4,30,120,4,1109704.9,164.7,286.7,561510,156352,2861045951,11213555964,0.0050
N4,4,30,120,5,1111500.9,166.9,304.1,464405,132252,2849368478,11030908764,0.0042
N4,4,30,120,6,1110741.6,167.7,308.3,425047,120688,2854741058,11082023778,0.0038
N4,4,30,120,7,1108248.6,167.7,306.0,432823,124825,2859853301,11081882104,0.0039
N4,4,30,120,8,1106936.3,168.3,307.7,422109,121027,2835239568,11032339560,0.0038
N4,4,30,120,9,1106922.7,167.9,305.3,443172,127423,2841466600,11000565214,0.0040
N4,4,30,120,10,1106364.7,167.6,300.3,482069,135902,2841564997,11003413550,0.0044
N5,5,30,150,1,1187796.0,153.2,274.2,653367,168846,3003261649,11532051231,0.0057
N5,5,30,150,2,1187970.3,153.5,278.0,621000,162926,3000740584,11515581408,0.0054
N5,5,30,150,3,1187058.3,153.5,270.1,609732,159341,2992637208,11564811728,0.0053
N5,5,30,150,4,1187796.2,153.3,278.4,615512,165785,3011011721,11575083841,0.0053
