label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p50_us,r_p99_us,r_p999_us,w_avg_us,w_p50_us,w_p99_us,w_p999_us
master,master,30,0,1,897756.8,141.4,139.8,204.3,332.0,143.6,142.2,206.1,336.3
master,master,30,0,2,896579.8,141.5,140.0,204.9,333.7,143.8,142.4,206.6,337.6
master,master,30,0,3,897088.8,141.4,139.9,204.7,333.8,143.7,142.3,206.5,336.5
master,master,30,0,4,897267.8,141.4,139.9,204.4,332.9,143.7,142.3,206.2,337.3
master,master,30,0,5,897631.9,141.4,139.8,204.7,332.6,143.7,142.2,206.5,336.6
master,master,30,0,6,899049.7,141.1,139.6,204.6,332.3,143.4,142.0,206.4,336.5
master,master,30,0,7,901261.4,140.8,139.2,204.2,331.4,143.1,141.6,206.1,336.5
master,master,30,0,8,899429.7,141.1,139.5,204.4,330.2,143.4,141.9,206.3,335.8
master,master,30,0,9,898999.5,141.1,139.6,204.4,331.6,143.4,142.0,206.2,335.6
master,master,30,0,10,897857.1,141.3,139.8,204.6,332.8,143.6,142.2,206.4,336.6
master,master,30,0,11,897894.6,141.3,139.8,204.7,330.4,143.6,142.2,206.5,335.9
master,master,30,0,12,896936.9,141.5,139.9,204.9,333.0,143.8,142.3,206.6,336.8
master,master,30,0,13,896371.4,141.6,140.0,204.4,333.8,143.8,142.4,206.3,337.0
master,master,30,0,14,898462.9,141.2,139.7,204.6,328.9,143.5,142.1,206.4,336.0
master,master,30,0,15,900339.1,141.0,139.4,203.9,330.1,143.2,141.7,205.8,336.6
master,master,30,0,16,901483.0,140.8,139.2,204.0,329.4,143.0,141.6,206.0,334.9
master,master,30,0,17,898060.6,141.3,139.7,204.6,331.9,143.6,142.1,206.4,335.5
master,master,30,0,18,896638.1,141.5,140.0,204.8,333.8,143.8,142.4,206.6,337.0
master,master,30,0,19,896983.6,141.5,139.9,204.6,331.5,143.7,142.3,206.4,335.9
master,master,30,0,20,897196.6,141.4,139.9,204.5,331.7,143.7,142.3,206.3,337.3
N0,0,30,0,1,1163525.6,109.3,108.0,152.8,282.2,110.5,109.2,153.9,282.1
N0,0,30,0,2,1164198.3,109.3,108.0,152.3,264.5,110.4,109.1,153.4,275.9
N0,0,30,0,3,1168661.2,108.9,107.6,151.3,251.5,110.0,108.7,152.7,262.0
N0,0,30,0,4,1165325.7,109.2,107.8,152.5,280.5,110.3,109.0,153.7,282.8
N0,0,30,0,5,1163934.8,109.3,108.0,152.4,270.3,110.4,109.2,153.6,278.8
N0,0,30,0,6,1164574.1,109.2,107.9,152.4,276.5,110.4,109.1,153.5,278.0
N0,0,30,0,7,1166154.7,109.1,107.7,152.6,283.0,110.3,108.9,153.7,283.6
N0,0,30,0,8,1166948.1,109.1,107.8,151.4,254.7,110.1,108.9,152.7,265.3
N0,0,30,0,9,1165353.3,109.2,107.8,152.4,271.7,110.3,109.0,153.5,277.7
N0,0,30,0,10,1165140.5,109.2,107.9,152.2,267.7,110.3,109.1,153.4,277.9
N0,0,30,0,11,1165764.4,109.2,107.9,151.9,262.7,110.2,109.0,153.1,268.5
N0,0,30,0,12,1167438.1,109.0,107.9,150.2,242.5,110.1,108.9,151.7,244.8
