label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,master,30,0,1,928776.7,136.7,202.1,138.8,204.3
master,master,30,0,2,940931.6,134.9,198.8,137.0,201.6
master,master,30,0,3,935745.6,135.6,201.3,137.8,203.7
master,master,30,0,4,935455.8,135.7,200.1,137.8,202.7
master,master,30,0,5,933536.8,135.9,201.7,138.1,204.0
master,master,30,0,6,936077.2,135.6,200.1,137.7,202.7
master,master,30,0,7,934881.7,135.8,200.5,137.9,203.0
master,master,30,0,8,930943.1,136.3,202.8,138.5,204.8
master,master,30,0,9,928494.9,136.7,202.4,138.9,204.6
master,master,30,0,10,932755.5,136.0,203.5,138.3,205.5
master,master,30,0,11,935899.1,135.6,201.7,137.8,204.0
master,master,30,0,12,933420.2,135.9,201.6,138.2,203.9
master,master,30,0,13,939776.3,135.1,197.9,137.2,200.9
master,master,30,0,14,941654.8,134.7,199.5,136.9,202.2
master,master,30,0,15,939705.0,135.0,200.6,137.2,203.1
master,master,30,0,16,935859.7,135.6,201.2,137.8,203.6
master,master,30,0,17,933742.9,135.9,201.8,138.1,204.2
master,master,30,0,18,935140.0,135.7,202.0,137.9,204.2
master,master,30,0,19,931356.2,136.2,202.1,138.5,204.3
master,master,30,0,20,934862.0,135.8,200.1,137.9,202.8
N0,0,30,0,1,1203543.4,105.7,154.1,106.9,155.1
N0,0,30,0,2,1201402.9,105.9,154.2,107.1,155.2
N0,0,30,0,3,1195222.7,106.4,155.0,107.6,155.9
N0,0,30,0,4,1204150.0,105.6,154.0,106.8,155.0
N0,0,30,0,5,1204765.1,105.5,154.1,106.8,155.1
N0,0,30,0,6,1201847.2,105.8,154.0,107.0,155.0
N0,0,30,0,7,1198084.0,106.2,154.3,107.3,155.3
N0,0,30,0,8,1197824.1,106.2,154.8,107.4,155.7
N0,0,30,0,9,1201239.8,105.9,154.4,107.1,155.4
N0,0,30,0,10,1197125.8,106.2,154.9,107.4,155.8
N0,0,30,0,11,1196717.8,106.3,155.1,107.5,156.0
N0,0,30,0,12,1198190.9,106.1,154.9,107.4,155.8
N0,0,30,0,13,1204578.5,105.6,153.5,106.8,154.5
N0,0,30,0,14,1200903.8,105.9,154.3,107.1,155.3
