label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,777649.9,228.4,367.8,324596,93218,694295227,3129545772,0.0104
master,master,30,0,2,777445.4,228.5,364.7,315353,92561,696766978,3139753388,0.0100
master,master,30,0,3,777543.1,228.4,365.3,307804,88586,699387599,3136645682,0.0098
N0,0,30,0,1,1021904.0,177.6,308.7,781474,143960,861823224,3272976842,0.0239
N0,0,30,0,2,1022435.8,177.8,306.9,775059,144316,866344055,3236805204,0.0239
N0,0,30,0,3,1020542.2,178.1,307.8,782559,145031,865566086,3257009545,0.0240
N25,25,30,750,1,1070786.6,170.1,226.6,903058,170839,890733373,3242625971,0.0278
N25,25,30,750,2,1070868.5,169.9,228.1,915222,174304,893871548,3258565250,0.0281
N25,25,30,750,3,1072311.1,169.8,228.2,908139,172290,889880265,3229859041,0.0281
N50,50,30,1500,1,1036040.6,176.8,269.4,833195,160706,847075299,3152883402,0.0264
N50,50,30,1500,2,1034708.7,176.9,307.4,819613,159380,853846399,3165374651,0.0259
N50,50,30,1500,3,1035919.0,176.8,304.7,840479,161882,853748311,3148064103,0.0267
N100,100,30,3000,1,1024978.2,178.0,306.5,754466,152490,814106058,2918426658,0.0259
N100,100,30,3000,2,1021387.5,178.3,306.6,804074,161457,816489840,2954523586,0.0272
N100,100,30,3000,3,1024346.4,178.0,307.3,779910,158320,812141598,2946479170,0.0265
N200,200,30,6000,1,1024645.5,179.8,306.7,752329,155664,769503224,2677567369,0.0281
N200,200,30,6000,2,1025140.7,180.1,307.1,746849,156366,771732792,2675759770,0.0279
N200,200,30,6000,3,1025569.0,179.5,305.4,735686,154850,772051331,2676951464,0.0275
