pause_count,run,QPS,vol_cs,nonvol_cs,perf_cs,cpu_migr,stime_ticks,utime_ticks
0,1,146552.8,1,0,160275,645,8466,2036
0,2,147388.3,1,0,161543,647,8514,2035
0,3,147280.7,1,0,161617,638,8519,2040
10,1,147746.8,1,0,159891,453,8437,2095
10,2,147353.0,1,0,159728,486,8439,2078
10,3,148095.3,1,0,159926,458,8449,2111
30,1,149885.3,1,0,163115,491,8508,2070
30,2,149943.0,1,0,163358,520,8532,2047
30,3,149605.2,1,0,162466,492,8504,2043
50,1,145334.2,1,0,157056,454,8373,2109
50,2,142730.7,1,0,153419,421,8214,2056
50,3,145530.6,1,0,157218,463,8384,2097
70,1,156009.1,1,0,174187,395,9092,2182
70,2,157942.3,1,0,175758,377,9142,2237
70,3,158294.3,1,0,176074,371,9181,2224
100,1,160224.2,1,0,180404,358,9281,2313
100,2,160418.2,1,0,180362,328,9285,2305
100,3,153650.1,1,0,170446,381,8835,2222
