pause_count,run,QPS,futex_count,futex_per_sec,futex_per_op,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,1,709023.7,11173986,372466.2,0.525323,178.9,403.8,182.0,408.6
master,2,707265.4,9724162,324138.7,0.458299,179.3,476.9,182.4,481.7
master,3,705275.3,9776796,325893.2,0.462079,179.8,471.0,182.9,476.5
0,1,725373.5,13356425,445214.2,0.613772,174.9,355.8,177.9,360.3
0,2,729466.4,13726803,457560.1,0.627253,173.9,309.6,176.8,315.5
0,3,729531.3,13748404,458280.1,0.628184,173.9,311.6,176.8,317.2
10,1,959540,3306263,110208.8,0.114856,N/A,N/A,N/A,N/A
10,2,954923,3297656,109921.9,0.115111,N/A,N/A,N/A,N/A
10,3,958159,3305579,110185.9,0.114998,N/A,N/A,N/A,N/A
20,1,921166,827823,27594.1,0.029956,N/A,N/A,N/A,N/A
20,2,922826,821014,27367.1,0.029656,N/A,N/A,N/A,N/A
20,3,922766,815487,27182.9,0.029458,N/A,N/A,N/A,N/A
30,1,902633,191736,6391.2,0.007081,N/A,N/A,N/A,N/A
30,2,902867,191943,6398.1,0.007086,N/A,N/A,N/A,N/A
30,3,902740,191815,6393.8,0.007083,N/A,N/A,N/A,N/A
40,1,904636,44302,1476.7,0.001632,N/A,N/A,N/A,N/A
40,2,904706,44523,1484.1,0.001640,N/A,N/A,N/A,N/A
40,3,904425,44191,1473.0,0.001629,N/A,N/A,N/A,N/A
50,1,899080,17646,588.2,0.000654,N/A,N/A,N/A,N/A
50,2,900522,17021,567.4,0.000630,N/A,N/A,N/A,N/A
50,3,902401,16547,551.6,0.000611,N/A,N/A,N/A,N/A
60,1,903239,9983,332.8,0.000368,N/A,N/A,N/A,N/A
60,2,902663,10546,351.5,0.000389,N/A,N/A,N/A,N/A
60,3,903262,9977,332.6,0.000368,N/A,N/A,N/A,N/A
70,1,899118,9314,310.5,0.000345,N/A,N/A,N/A,N/A
70,2,898740,9446,314.9,0.000350,N/A,N/A,N/A,N/A
70,3,900156,9466,315.5,0.000351,N/A,N/A,N/A,N/A
80,1,898023,5972,199.1,0.000222,N/A,N/A,N/A,N/A
80,2,897164,5341,178.0,0.000198,N/A,N/A,N/A,N/A
80,3,899132,5572,185.7,0.000207,N/A,N/A,N/A,N/A
90,1,897325,4002,133.4,0.000149,N/A,N/A,N/A,N/A
90,2,899574,4263,142.1,0.000158,N/A,N/A,N/A,N/A
90,3,899148,4041,134.7,0.000150,N/A,N/A,N/A,N/A
100,1,906064,3498,116.6,0.000129,N/A,N/A,N/A,N/A
100,2,905614,3075,102.5,0.000113,N/A,N/A,N/A,N/A
100,3,905300,3142,104.7,0.000116,N/A,N/A,N/A,N/A
200,1,898557,1713,57.1,0.000064,N/A,N/A,N/A,N/A
200,2,899767,1482,49.4,0.000055,N/A,N/A,N/A,N/A
200,3,901031,1550,51.7,0.000057,N/A,N/A,N/A,N/A
300,1,903416,1250,41.7,0.000046,N/A,N/A,N/A,N/A
300,2,903021,1427,47.6,0.000053,N/A,N/A,N/A,N/A
300,3,906449,1283,42.8,0.000047,N/A,N/A,N/A,N/A
