depth,total_conns,mut_conns,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
1,4,1,1,115748.0,33.9,37.4,35.0,38.5
1,4,1,2,116104.4,33.8,37.3,34.8,37.5
1,4,1,3,115775.4,34.1,37.4,34.7,37.8
1,16,4,1,193746.4,81.9,110.4,83.0,110.7
1,16,4,2,194987.7,81.5,108.2,82.4,108.5
1,16,4,3,194237.7,81.8,109.2,82.8,109.5
1,64,16,1,219135.3,291.6,424.1,292.3,425.1
1,64,16,2,218290.6,292.7,425.2,293.5,426.3
1,64,16,3,216506.5,295.1,427.9,295.8,428.9
1,256,64,1,230038.6,1112.7,1545.6,1112.8,1549.8
1,256,64,2,229863.2,1113.5,1544.6,1113.6,1547.7
1,256,64,3,230390.3,1110.9,1545.9,1111.1,1549.7
2,4,1,1,216119.9,36.8,40.6,37.0,40.5
2,4,1,2,216997.3,36.7,40.3,36.9,40.4
2,4,1,3,217472.9,36.6,40.3,36.7,40.4
2,16,4,1,365757.1,86.7,116.6,88.0,116.8
2,16,4,2,358816.4,88.3,118.5,89.8,118.9
2,16,4,3,353912.5,89.4,122.0,91.2,122.3
2,64,16,1,405603.1,315.0,456.2,315.9,457.1
2,64,16,2,408317.2,312.9,449.9,313.9,451.2
2,64,16,3,397333.3,321.7,468.7,322.4,469.5
2,256,64,1,422108.1,1212.6,1723.2,1213.1,1726.7
2,256,64,2,426336.7,1200.5,1721.7,1201.1,1725.2
2,256,64,3,426894.4,1198.9,1722.3,1199.5,1725.1
4,4,1,1,371430.7,42.9,48.5,43.0,48.8
4,4,1,2,376070.9,42.3,47.8,42.5,48.4
4,4,1,3,373986.3,42.6,48.3,42.8,48.8
4,16,4,1,629101.2,101.1,142.2,102.1,143.5
4,16,4,2,625941.8,101.6,141.9,102.6,142.9
4,16,4,3,625425.9,101.7,141.1,102.7,141.5
4,64,16,1,731285.2,349.4,505.9,350.5,506.9
4,64,16,2,713476.5,358.1,521.6,359.3,522.2
4,64,16,3,729730.2,350.1,507.4,351.3,508.5
4,256,64,1,732102.6,1398.1,2021.7,1399.0,2022.7
4,256,64,2,749565.3,1365.2,2004.3,1366.7,2005.4
4,256,64,3,752843.9,1359.5,1999.1,1360.6,2000.0
8,4,1,1,598006.9,53.2,62.5,53.6,63.7
8,4,1,2,598763.7,53.2,62.2,53.5,63.5
8,4,1,3,595935.9,53.4,62.7,53.7,63.7
8,16,4,1,889059.1,143.2,246.5,144.5,248.2
8,16,4,2,886885.0,143.5,272.0,145.0,274.2
8,16,4,3,880653.1,144.5,263.0,146.0,265.5
8,64,16,1,930112.7,548.7,1528.4,552.0,1533.1
8,64,16,2,936206.9,545.4,1545.4,548.2,1550.0
8,64,16,3,943409.2,541.2,1479.3,544.0,1483.3
8,256,64,1,949024.0,2156.3,4016.0,2159.2,4021.2
8,256,64,2,945854.2,2163.7,4056.3,2166.3,4059.6
8,256,64,3,945641.6,2164.2,4036.4,2166.8,4040.6
16,4,1,1,831033.4,76.7,93.8,77.1,94.9
16,4,1,2,827684.2,77.0,93.1,77.4,94.3
16,4,1,3,830691.3,76.7,93.0,77.2,94.2
16,16,4,1,971565.6,262.2,684.3,264.6,688.6
16,16,4,2,971467.2,262.3,652.7,264.5,657.2
16,16,4,3,966466.3,263.6,658.7,265.9,662.9
16,64,16,1,969438.4,1054.7,2097.8,1057.6,2102.3
16,64,16,2,968599.7,1055.6,2090.1,1058.5,2094.3
16,64,16,3,968189.7,1056.0,2091.4,1059.1,2096.9
16,256,64,1,961490.6,4258.1,6305.1,4261.0,6308.0
16,256,64,2,971006.6,4216.5,6391.2,4219.1,6402.5
16,256,64,3,967794.6,4230.3,6707.6,4233.3,6717.6
32,4,1,1,984023.9,129.5,164.1,130.5,165.6
32,4,1,2,998638.1,127.6,160.3,128.6,162.2
32,4,1,3,1003350.0,127.0,159.0,127.9,161.0
32,16,4,1,988956.4,516.4,1259.2,518.8,1262.0
32,16,4,2,989627.2,516.3,1190.1,518.2,1192.4
32,16,4,3,989692.2,516.2,1177.6,518.2,1181.0
32,64,16,1,987573.3,2072.5,3136.1,2074.6,3138.2
32,64,16,2,986638.8,2074.4,3135.1,2076.6,3138.8
32,64,16,3,984987.3,2077.9,3128.1,2080.1,3131.3
32,256,64,1,983086.0,8330.3,10152.6,8332.3,10155.6
32,256,64,2,982241.9,8337.0,10184.0,8339.8,10186.3
32,256,64,3,982484.1,8335.4,10186.4,8337.4,10186.6
