label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,master,30,0,1,1335781.0,94.9,141.3,96.6,143.5
master,master,30,0,2,1336106.2,94.9,141.3,96.6,143.5
master,master,30,0,3,1338847.5,94.7,141.2,96.4,143.1
master,master,30,0,4,1338050.0,94.8,141.3,96.4,143.2
master,master,30,0,5,1339202.5,94.7,141.2,96.3,143.0
master,master,30,0,6,1339943.9,94.7,141.1,96.3,142.7
master,master,30,0,7,1338925.5,94.7,141.2,96.4,143.0
master,master,30,0,8,1336421.1,94.9,141.4,96.5,143.4
master,master,30,0,9,1335166.5,95.0,141.4,96.6,143.7
master,master,30,0,10,1336789.6,94.9,141.4,96.5,143.5
master,master,30,0,11,1336955.2,94.9,141.2,96.5,143.1
master,master,30,0,12,1338149.9,94.8,141.2,96.4,143.1
master,master,30,0,13,1337762.7,94.8,141.3,96.4,143.1
master,master,30,0,14,1338114.5,94.8,141.2,96.4,143.0
master,master,30,0,15,1338619.2,94.8,141.3,96.4,143.2
master,master,30,0,16,1338660.0,94.7,141.2,96.4,143.1
master,master,30,0,17,1339964.1,94.7,141.2,96.3,143.0
master,master,30,0,18,1340439.0,94.6,141.1,96.3,142.7
master,master,30,0,19,1339683.6,94.7,141.2,96.3,143.1
master,master,30,0,20,1339458.7,94.7,141.2,96.3,143.0
N0,0,30,0,1,1590489.7,80.0,120.7,80.9,122.2
N0,0,30,0,2,1591667.1,79.9,120.6,80.8,122.0
N0,0,30,0,3,1590660.8,80.0,120.7,80.9,122.1
N0,0,30,0,4,1589871.8,80.0,120.8,80.9,122.2
N0,0,30,0,5,1591158.7,79.9,120.7,80.9,122.1
N0,0,30,0,6,1590080.4,80.0,120.8,80.9,122.2
N0,0,30,0,7,1590489.2,80.0,120.7,80.9,122.1
N0,0,30,0,8,1592140.5,79.9,120.5,80.8,122.0
N0,0,30,0,9,1591360.7,79.9,120.7,80.8,122.0
N0,0,30,0,10,1594236.1,79.8,120.1,80.7,121.6
N0,0,30,0,11,1594385.7,79.8,120.1,80.7,121.6
N0,0,30,0,12,1593226.5,79.8,120.4,80.8,121.9
N0,0,30,0,13,1588968.5,80.0,120.8,81.0,122.3
N0,0,30,0,14,1590863.5,79.9,120.6,80.9,122.0
N0,0,30,0,15,1592457.9,79.9,120.5,80.8,121.9
N0,0,30,0,16,1593666.1,79.8,120.4,80.7,121.8
N0,0,30,0,17,1592971.1,79.8,120.4,80.8,121.9
N0,0,30,0,18,1593790.4,79.8,120.2,80.7,121.7
N0,0,30,0,19,1590144.6,80.0,120.8,80.9,122.2
N0,0,30,0,20,1590609.4,80.0,120.7,80.9,122.1
N1,1,30,30,1,1591038.5,80.0,114.1,80.8,114.9
N1,1,30,30,2,1591195.3,80.0,114.0,80.8,114.7
N1,1,30,30,3,1592085.6,79.9,114.0,80.8,114.7
N1,1,30,30,4,1592557.1,79.9,114.0,80.7,114.7
N1,1,30,30,5,1592372.5,79.9,113.9,80.7,114.7
N1,1,30,30,6,1591623.0,80.0,114.1,80.8,114.8
N1,1,30,30,7,1591668.5,80.0,114.1,80.8,114.9
N1,1,30,30,8,1592495.6,79.9,114.0,80.7,114.7
