label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,futex_count,futex_per_req
master,master,30,0,1,1084799.5,180.3,207.2,110546902,1.698423
master,master,30,0,2,1084669.1,180.0,207.0,110617681,1.699715
master,master,30,0,3,1086299.2,180.2,207.2,110676483,1.698066
master,master,30,0,4,1086921.4,178.7,206.3,110481446,1.694104
master,master,30,0,5,1086823.8,179.9,207.0,110776210,1.698776
N0,0,30,0,1,1131548.0,153.5,177.5,16276729,0.239741
N0,0,30,0,2,1131719.4,152.0,173.8,16291433,0.239922
N0,0,30,0,3,1131714.2,152.7,175.8,16230480,0.239025
N0,0,30,0,4,1132962.3,153.4,177.4,16154206,0.237640
N0,0,30,0,5,1131875.4,153.1,176.2,16205237,0.238619
N1,1,30,30,1,1132038.2,143.9,170.1,3166898,0.046625
N1,1,30,30,2,1133423.1,142.0,168.9,3153147,0.046366
N1,1,30,30,3,1133822.7,142.2,169.2,3160948,0.046464
N1,1,30,30,4,1133325.5,142.0,169.0,3158391,0.046447
N1,1,30,30,5,1133631.8,141.6,167.8,3131754,0.046043
N2,2,30,60,1,1145777.8,140.6,167.2,1336224,0.019437
N2,2,30,60,2,1147062.5,139.1,163.0,1297005,0.018845
N2,2,30,60,3,1147372.3,139.8,165.5,1315420,0.019108
N2,2,30,60,4,1147605.9,139.5,164.3,1304088,0.018939
N2,2,30,60,5,1116421.3,145.0,170.8,1581297,0.023607
N3,3,30,90,1,1226006.9,128.1,147.8,941230,0.012795
N3,3,30,90,2,1203120.1,129.1,152.3,1150146,0.015933
N3,3,30,90,3,1201957.5,130.1,153.9,1155381,0.016021
N3,3,30,90,4,1202784.6,131.3,155.4,1128765,0.015641
N3,3,30,90,5,1202753.4,129.9,153.6,1154806,0.016002
N4,4,30,120,1,1263407.4,126.5,146.7,645298,0.008513
N4,4,30,120,2,1262326.2,125.8,139.7,640735,0.008460
N4,4,30,120,3,1276807.3,124.8,139.5,654672,0.008546
N4,4,30,120,4,1274313.1,125.4,141.8,664777,0.008695
N4,4,30,120,5,1275549.2,125.3,141.7,661534,0.008644
N5,5,30,150,1,1335454.2,116.9,135.5,398959,0.004979
N5,5,30,150,2,1335444.8,116.8,129.3,389715,0.004864
N5,5,30,150,3,1335398.4,116.8,129.0,393257,0.004908
N5,5,30,150,4,1335302.4,116.9,131.8,377153,0.004707
N5,5,30,150,5,1336387.6,116.9,134.3,378014,0.004714
N6,6,30,180,1,1407255.3,112.9,125.6,301133,0.003566
N6,6,30,180,2,1407418.5,112.9,125.4,307527,0.003642
N6,6,30,180,3,1405289.9,113.1,125.6,304941,0.003617
N6,6,30,180,4,1405489.1,113.2,126.4,307705,0.003649
N6,6,30,180,5,1405970.5,113.3,126.5,312881,0.003709
N7,7,30,210,1,1373250.0,115.5,127.3,258640,0.003139
N7,7,30,210,2,1371917.1,115.7,128.2,276290,0.003356
N7,7,30,210,3,1370458.7,115.7,128.3,263395,0.003203
N7,7,30,210,4,1372062.5,115.7,128.5,270224,0.003282
N7,7,30,210,5,1373985.2,115.5,127.8,258777,0.003139
N8,8,30,240,1,1443039.9,107.8,121.7,297634,0.003438
N8,8,30,240,2,1443751.9,107.4,120.5,290538,0.003354
N8,8,30,240,3,1445362.2,107.2,120.3,279452,0.003222
N8,8,30,240,4,1444985.9,107.4,121.4,286348,0.003303
