condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2100.0,0.0686,0.1600,0.1924,0.3029,0.5543,1.3400,1.9305,3.1724,4.9676,37.1829
N1,4194304,2100.0,0.0686,0.1657,0.1952,0.2990,0.5400,1.3543,1.9676,3.2038,4.9819,151.3533
N2,4194304,2100.0,0.0686,0.1629,0.1895,0.2552,0.4771,1.2324,1.7933,2.8419,4.3381,22.4505
N3,4194304,2100.0,0.0686,0.1629,0.2133,0.3162,0.5162,1.3076,1.8867,2.9933,4.5981,47.9981
N4,4194304,2100.0,0.0686,0.1619,0.2067,0.2981,0.4971,1.2714,1.8333,2.8962,4.4511,29.2543
N5,4194304,2100.0,0.0686,0.1581,0.1962,0.2848,0.4819,1.2333,1.7838,2.8010,4.2419,31.4038
N6,4194304,2100.0,0.0695,0.1514,0.1781,0.2429,0.4610,1.1343,1.6571,2.5610,3.8590,53.9019
N7,4194304,2100.0,0.0676,0.1505,0.1886,0.2857,0.4762,1.1638,1.6714,2.6524,4.0286,20.7162
N8,4194304,2100.0,0.0686,0.1448,0.1676,0.2362,0.4657,1.0933,1.5171,2.4152,3.7648,49.1038
N9,4194304,2100.0,0.0676,0.1419,0.1819,0.2743,0.4800,1.1238,1.5943,2.5552,3.9343,18.4390
N10,4194304,2100.0,0.0686,0.1343,0.1695,0.2524,0.4705,1.0695,1.5276,2.4190,3.7638,31.9295
N15,4194304,2100.0,0.0676,0.1276,0.1667,0.2676,0.5114,1.0390,1.4857,2.4943,3.9695,32.2181
N20,4194304,2100.0,0.0676,0.1229,0.1657,0.2886,0.5762,1.0600,1.4543,2.5571,4.1981,23.6714
N25,4194304,2100.0,0.0676,0.1210,0.1619,0.2771,0.5895,1.0524,1.4362,2.4819,3.9990,27.1067
N30,4194304,2100.0,0.0676,0.1200,0.1581,0.2743,0.5771,1.0381,1.4143,2.4457,3.8876,49.9914
N35,4194304,2100.0,0.0676,0.1200,0.1543,0.2819,0.5771,1.0533,1.4257,2.4895,4.0302,37.8629
N40,4194304,2100.0,0.0676,0.1219,0.1619,0.2971,0.5838,1.0905,1.4533,2.5248,4.1448,160.4752
N45,4194304,2100.0,0.0676,0.1162,0.1571,0.3048,0.5848,1.1210,1.4562,2.5305,4.1143,38.4276
N50,4194304,2100.0,0.0676,0.1200,0.1581,0.3124,0.6000,1.1314,1.4771,2.5676,4.1400,48.1038
N55,4194304,2100.0,0.0676,0.1143,0.1590,0.3181,0.6076,1.1419,1.5152,2.5962,4.1924,49.2743
N60,4194304,2100.0,0.0676,0.1095,0.1562,0.3190,0.6095,1.1390,1.5562,2.5971,4.1905,50.8152
N65,4194304,2100.0,0.0676,0.1067,0.1571,0.3210,0.6124,1.1371,1.6057,2.6324,4.2857,57.1267
N70,4194304,2100.0,0.0676,0.1010,0.1562,0.3200,0.6124,1.1381,1.6600,2.6162,4.3007,59.4543
N75,4194304,2100.0,0.0676,0.0971,0.1543,0.3210,0.6124,1.1343,1.6410,2.6276,4.3552,63.8962
N80,4194304,2100.0,0.0676,0.0952,0.1514,0.3190,0.6095,1.1276,1.6314,2.6143,4.3124,63.6276
N85,4194304,2100.0,0.0676,0.0943,0.1514,0.3200,0.6076,1.1267,1.6371,2.6324,4.3711,106.6095
N90,4194304,2100.0,0.0676,0.0933,0.1514,0.3210,0.6057,1.1248,1.6429,2.6419,4.4007,72.7124
N95,4194304,2100.0,0.0667,0.0914,0.1505,0.3219,0.6067,1.1286,1.6505,2.6590,4.4349,73.5029
N100,4194304,2100.0,0.0676,0.0895,0.1495,0.3238,0.6076,1.1276,1.6562,2.6819,4.4505,77.2867
N150,4194304,2100.0,0.0667,0.0810,0.1552,0.3333,0.6162,1.1638,1.7810,3.4610,4.9359,109.2343
N200,4194304,2100.0,0.0676,0.0781,0.1429,0.3314,0.6029,1.1724,1.9267,3.9943,5.4629,143.5533
