label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,1122772.1,184.8,218.0,705389,38052,635527156,4597643408,0.0153
master,master,30,0,2,1124861.8,184.5,217.4,692308,37228,634774855,4602672793,0.0150
master,master,30,0,3,1125095.1,185.1,218.4,642819,34005,637288622,4586776722,0.0140
master,master,30,0,4,1124446.6,185.2,218.9,615853,34063,641478658,4634934523,0.0133
master,master,30,0,5,1123462.8,185.4,219.0,605943,33762,640284491,4599670796,0.0132
master,master,30,0,6,1125236.0,184.9,218.0,628175,35673,636962686,4595786737,0.0137
master,master,30,0,7,1124211.5,185.4,219.1,631759,33332,644617297,4584764757,0.0138
master,master,30,0,8,1124250.5,185.1,218.4,635410,34392,637429087,4606282041,0.0138
master,master,30,0,9,1125694.8,184.8,218.2,600117,31432,641031727,4619956243,0.0130
master,master,30,0,10,1124057.8,185.0,218.2,636496,33193,637668097,4619349781,0.0138
N0,0,30,0,1,1086164.7,178.0,206.7,353440,17011,1281769157,5865620555,0.0060
N0,0,30,0,2,1086557.5,176.7,205.8,469670,25849,1281725980,5873658845,0.0080
N0,0,30,0,3,1087275.7,177.4,206.6,397783,21107,1283294473,5789430904,0.0069
N0,0,30,0,4,1089293.1,177.2,206.3,386547,19990,1286336483,5803188947,0.0067
N0,0,30,0,5,1086497.5,177.1,206.3,456256,25215,1282358483,5789247860,0.0079
N0,0,30,0,6,1087042.6,177.9,206.5,360385,19486,1281467637,5774717056,0.0062
N0,0,30,0,7,1087015.6,177.3,206.3,432671,23346,1283038300,5804664551,0.0075
N0,0,30,0,8,1087096.1,177.8,206.6,359233,18522,1287526959,5794306893,0.0062
N0,0,30,0,9,1086528.5,178.4,207.0,370406,20321,1282905027,5806968811,0.0064
N0,0,30,0,10,1087538.2,177.6,206.5,401674,21371,1282171568,5783256085,0.0069
N1,1,30,30,1,1105138.9,155.6,184.3,374987,20291,1346398889,6241146736,0.0060
N1,1,30,30,2,1089028.0,160.5,187.1,345495,18412,1339215180,6093347103,0.0057
N1,1,30,30,3,1086278.6,163.7,188.5,242993,12952,1341708909,6120409808,0.0040
N1,1,30,30,4,1086691.6,163.3,188.2,257152,13784,1343357813,6116270950,0.0042
N1,1,30,30,5,1088180.4,162.6,187.9,275245,13166,1343189864,6104703145,0.0045
N1,1,30,30,6,1088248.0,159.7,186.8,397191,21920,1343341431,6112022072,0.0065
N1,1,30,30,7,1088583.9,160.0,187.0,353408,19629,1340014943,6084915915,0.0058
N1,1,30,30,8,1088407.8,162.9,188.0,268371,14529,1342596407,6065006189,0.0044
N1,1,30,30,9,1087946.9,162.9,188.0,261035,13880,1341770715,6072912106,0.0043
N1,1,30,30,10,1088038.8,161.5,187.5,327204,17562,1336979112,6127726668,0.0053
N2,2,30,60,1,1185887.3,138.0,163.4,507282,29824,1310179103,6430309971,0.0079
N2,2,30,60,2,1186523.8,139.5,166.1,454912,25276,1311857073,6363253287,0.0071
N2,2,30,60,3,1186465.0,139.6,166.1,446849,24983,1309890787,6368339545,0.0070
N2,2,30,60,4,1165877.4,141.5,168.8,403405,22513,1307657217,6245786656,0.0065
N2,2,30,60,5,1166220.9,141.5,168.7,449734,25560,1312645008,6252885778,0.0072
N2,2,30,60,6,1167668.4,141.6,169.0,376346,20917,1309555909,6269439341,0.0060
N2,2,30,60,7,1168684.1,140.3,166.0,522736,30896,1310286262,6265231997,0.0083
N2,2,30,60,8,1165871.9,142.0,169.7,340187,18922,1311257400,6214512071,0.0055
N2,2,30,60,9,1168746.0,141.7,169.3,337576,18297,1309155645,6254408641,0.0054
N2,2,30,60,10,1169170.9,140.6,166.9,543755,32987,1308012007,6230551169,0.0087
N3,3,30,90,1,1261682.7,128.2,154.5,617495,36512,1405757774,6770603746,0.0091
N3,3,30,90,2,1259715.8,128.3,154.9,616718,35090,1403394425,6742559124,0.0091
N3,3,30,90,3,1261996.1,128.4,154.9,613090,36415,1400307218,6684087537,0.0092
N3,3,30,90,4,1263134.8,127.7,152.9,834062,53435,1399646425,6644975139,0.0126
N3,3,30,90,5,1261896.2,127.6,152.9,774176,49675,1402450376,6603369161,0.0117
N3,3,30,90,6,1260100.0,127.9,153.4,792276,49036,1398538375,6635797875,0.0119
N3,3,30,90,7,1261659.1,127.8,153.6,661071,40201,1403550075,6633386375,0.0100
N3,3,30,90,8,1261893.7,128.2,154.3,586501,35039,1404161908,6675481747,0.0088
N3,3,30,90,9,1263159.5,127.6,153.0,741969,46873,1403153670,6608926971,0.0112
N3,3,30,90,10,1262257.1,128.3,154.6,683882,42087,1402106234,6620965834,0.0103
N4,4,30,120,1,1284205.6,126.0,151.4,708859,41613,1424430836,6941033410,0.0102
N4,4,30,120,2,1285941.5,126.4,152.3,699712,40761,1428766142,6925102429,0.0101
N4,4,30,120,3,1303617.7,124.9,151.2,892425,53486,1415478271,6941017472,0.0129
N4,4,30,120,4,1302306.1,124.3,149.5,1083081,69696,1412120016,6998694892,0.0155
N4,4,30,120,5,1302817.3,124.8,150.7,818745,49043,1421306357,6942132208,0.0118
N4,4,30,120,6,1302740.8,124.7,150.3,845989,52149,1414990188,7018059443,0.0121
N4,4,30,120,7,1302641.3,124.3,149.4,918180,56167,1409396224,7000700638,0.0131
N4,4,30,120,8,1302880.5,124.1,149.5,888808,55855,1416092446,6984889233,0.0127
N4,4,30,120,9,1303825.8,123.6,148.4,1166826,77219,1409093844,6949000483,0.0168
N4,4,30,120,10,1302437.2,124.4,149.9,851624,52139,1413668912,6967665536,0.0122
N5,5,30,150,1,1315841.4,123.1,148.5,1146726,74691,1275992128,6750065904,0.0170
N5,5,30,150,2,1315412.0,123.9,150.3,964836,59634,1279147326,6701805408,0.0144
