label,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master_baseline,1,427583.6,0.0,0.0,299.3,430.0
master_baseline,2,424099.4,0.0,0.0,301.7,434.2
master_baseline,3,414801.8,0.0,0.0,308.5,439.8
master_baseline,4,414511.3,0.0,0.0,308.7,441.0
master_baseline,5,415450.8,0.0,0.0,308.0,439.3
master_baseline,6,413134.4,0.0,0.0,309.7,442.2
master_baseline,7,414578.1,0.0,0.0,308.7,440.1
master_baseline,8,416429.0,0.0,0.0,307.3,439.9
master_baseline,9,423423.6,0.0,0.0,302.2,434.5
master_baseline,10,424572.7,0.0,0.0,301.4,434.0
pause_0,1,421791.1,0.0,0.0,303.4,436.4
pause_0,2,419290.4,0.0,0.0,305.2,436.1
pause_0,3,419951.4,0.0,0.0,304.7,435.0
pause_0,4,419994.5,0.0,0.0,304.7,437.1
pause_0,5,419252.2,0.0,0.0,305.2,436.0
pause_0,6,415702.2,0.0,0.0,307.8,438.4
pause_0,7,413391.6,0.0,0.0,309.5,442.0
pause_0,8,412355.7,0.0,0.0,310.3,440.6
pause_0,9,413473.9,0.0,0.0,309.5,440.5
pause_0,10,412056.1,0.0,0.0,310.5,441.7
pause_10,1,543095.4,0.0,0.0,235.6,349.5
pause_10,2,543287.9,0.0,0.0,235.5,347.6
pause_10,3,542623.6,0.0,0.0,235.8,350.0
pause_10,4,542645.8,0.0,0.0,235.8,350.2
pause_10,5,542378.8,0.0,0.0,235.9,349.3
pause_10,6,545566.2,0.0,0.0,234.5,345.3
pause_10,7,543634.6,0.0,0.0,235.4,347.7
pause_10,8,540878.0,0.0,0.0,236.6,350.8
pause_10,9,561884.4,0.0,0.0,227.7,332.8
pause_10,10,565996.0,0.0,0.0,226.1,330.4
pause_20,1,548559.6,0.0,0.0,233.2,334.9
pause_20,2,547055.3,0.0,0.0,233.9,336.5
pause_20,3,546669.0,0.0,0.0,234.0,337.4
pause_20,4,546825.3,0.0,0.0,234.0,336.7
pause_20,5,548606.3,0.0,0.0,233.2,334.8
pause_20,6,546373.6,0.0,0.0,234.2,339.8
pause_20,7,546604.9,0.0,0.0,234.1,339.6
pause_20,8,546252.4,0.0,0.0,234.2,339.7
pause_20,9,546246.1,0.0,0.0,234.2,339.2
pause_20,10,547951.1,0.0,0.0,233.5,336.2
pause_30,1,518521.1,0.0,0.0,246.8,348.0
pause_30,2,517532.5,0.0,0.0,247.2,349.2
pause_30,3,516062.4,0.0,0.0,247.9,350.6
pause_30,4,516725.2,0.0,0.0,247.6,350.0
pause_30,5,515278.3,0.0,0.0,248.3,351.9
pause_30,6,515000.6,0.0,0.0,248.4,351.7
pause_30,7,515912.3,0.0,0.0,248.0,351.6
pause_30,8,515888.8,0.0,0.0,248.0,351.5
pause_30,9,533376.3,0.0,0.0,239.9,332.4
pause_30,10,536581.6,0.0,0.0,238.5,330.5
pause_40,1,521821.7,0.0,0.0,245.2,323.5
pause_40,2,521112.5,0.0,0.0,245.5,323.9
pause_40,3,520795.5,0.0,0.0,245.7,324.4
pause_40,4,521786.5,0.0,0.0,245.2,323.6
pause_40,5,519915.9,0.0,0.0,246.1,325.2
pause_40,6,522131.9,0.0,0.0,245.1,322.7
pause_40,7,522159.0,0.0,0.0,245.0,323.3
pause_40,8,520869.2,0.0,0.0,245.6,323.6
pause_40,9,521031.1,0.0,0.0,245.6,323.5
pause_40,10,519949.2,0.0,0.0,246.1,324.2
pause_50,1,514188.6,0.0,0.0,248.8,307.0
pause_50,2,511521.3,0.0,0.0,250.1,313.5
pause_50,3,514998.5,0.0,0.0,248.4,307.3
pause_50,4,513776.1,0.0,0.0,249.0,310.0
pause_50,5,514413.6,0.0,0.0,248.7,307.2
