label,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master_baseline,0,692503.0,,,,
pause_0,1,687224.1,184.5,298.3,187.8,302.8
pause_0,2,686296.8,184.8,323.2,188.0,328.6
pause_0,3,685678.3,184.9,330.3,188.2,335.0
pause_0,4,687278.2,184.4,302.2,187.8,307.6
pause_0,5,687332.9,184.5,253.0,187.8,259.4
pause_100,1,906422.6,140.2,170.7,142.0,171.7
pause_100,2,904009.3,140.5,170.4,142.4,171.5
pause_100,3,906617.0,140.1,169.7,142.1,171.0
pause_100,4,907337.8,140.0,169.9,141.9,171.1
pause_100,5,907262.0,140.0,172.1,141.9,176.9
pause_200,1,909600.1,139.8,188.6,141.4,192.2
pause_200,2,910654.9,139.7,228.0,141.2,232.9
pause_200,3,909801.9,139.8,198.5,141.4,202.0
pause_200,4,910763.9,139.7,229.6,141.2,234.2
pause_200,5,904706.0,140.5,187.0,142.2,188.4
pause_500,1,900041.3,141.1,170.5,143.1,171.6
pause_500,2,901179.3,141.0,170.8,142.9,171.8
pause_500,3,900956.2,141.0,170.4,142.9,171.6
pause_500,4,902066.1,140.8,170.3,142.7,171.5
pause_500,5,900555.1,141.1,170.5,143.0,171.6
pause_1000,1,896716.4,141.7,171.2,143.6,173.8
pause_1000,2,891886.2,142.4,171.5,144.4,175.4
pause_1000,3,893659.4,142.1,170.8,144.1,172.0
pause_1000,4,895865.9,141.8,170.9,143.7,172.2
pause_1000,5,895431.6,141.8,170.5,143.8,171.6
