label,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master_baseline,1,695706.7,182.3,290.6,185.5,295.1
master_baseline,2,694504.3,182.6,276.1,185.8,281.9
master_baseline,3,693337.9,182.9,274.8,186.1,278.1
master_baseline,4,691319.5,183.4,275.9,186.7,281.8
master_baseline,5,688028.3,184.2,276.2,187.6,282.3
master_baseline,6,686953.1,184.5,277.2,187.9,284.7
master_baseline,7,681498.2,186.0,285.1,189.4,291.0
master_baseline,8,680595.8,186.3,280.1,189.7,287.0
master_baseline,9,678540.4,186.8,281.6,190.3,288.0
master_baseline,10,670223.6,189.1,286.7,192.7,292.3
pause_0,1,665251.5,190.5,320.1,194.1,325.5
pause_0,2,664199.6,190.8,315.5,194.4,321.1
pause_0,3,663387.0,191.1,311.6,194.6,318.0
pause_0,4,664783.7,190.7,289.9,194.2,294.9
pause_0,5,665325.5,190.5,287.8,194.1,293.4
pause_0,6,663429.8,191.0,291.1,194.6,295.9
pause_0,7,665238.7,190.6,288.3,194.0,293.5
pause_0,8,667788.9,189.8,288.7,193.3,294.0
pause_0,9,670775.0,189.0,287.4,192.5,292.8
pause_0,10,668270.7,189.6,286.6,193.2,292.3
pause_10,1,920307.9,138.2,200.5,139.8,202.7
pause_10,2,921816.8,137.9,207.9,139.6,212.3
pause_10,3,919139.7,138.3,223.8,140.0,226.0
pause_10,4,919778.3,138.3,223.1,139.8,225.1
pause_10,5,919253.6,138.3,225.4,140.0,227.3
pause_10,6,919545.7,138.3,222.2,139.9,224.6
pause_10,7,919485.3,138.3,227.6,139.9,230.6
pause_10,8,921054.1,138.0,226.3,139.7,228.2
pause_10,9,920405.2,138.1,219.5,139.8,222.2
pause_10,10,920653.0,138.1,221.9,139.7,224.2
pause_20,1,883798.1,143.7,200.0,145.7,202.4
pause_20,2,885577.8,143.5,199.4,145.4,201.9
pause_20,3,884472.8,143.6,200.1,145.6,202.5
pause_20,4,885815.7,143.4,200.9,145.4,203.1
pause_20,5,886565.0,143.3,201.3,145.2,203.5
pause_20,6,885402.1,143.5,200.0,145.4,202.4
pause_20,7,884650.9,143.6,199.8,145.6,202.2
pause_20,8,890141.6,142.7,198.7,144.6,201.3
pause_20,9,898595.1,141.4,196.5,143.2,199.4
pause_20,10,896155.8,141.8,196.5,143.7,199.4
pause_30,1,878747.3,144.5,194.3,146.6,198.1
pause_30,2,880704.1,144.3,194.0,146.2,197.8
pause_30,3,877605.7,144.7,194.8,146.8,198.6
pause_30,4,880474.4,144.3,195.6,146.2,199.0
pause_30,5,879067.0,144.4,193.8,146.6,197.7
pause_30,6,880459.6,144.3,196.6,146.3,199.8
pause_30,7,878964.0,144.4,195.8,146.6,199.3
pause_30,8,878712.9,144.5,192.7,146.6,197.0
pause_30,9,880395.3,144.2,191.7,146.3,196.0
pause_30,10,876749.9,144.8,195.8,146.9,199.3
pause_40,1,875244.6,145.1,192.9,147.2,197.3
pause_40,2,877278.7,144.7,192.4,146.9,196.8
pause_40,3,875904.5,144.9,192.3,147.1,196.7
pause_40,4,878597.2,144.5,193.8,146.7,197.9
pause_40,5,876239.0,144.9,191.3,147.0,196.0
pause_40,6,875201.7,145.1,260.2,147.2,261.4
pause_40,7,880009.7,144.3,223.6,146.4,226.2
pause_40,8,878025.8,144.6,225.9,146.7,227.8
pause_40,9,879448.2,144.4,218.2,146.5,221.2
pause_40,10,877732.0,144.7,226.9,146.8,229.7
pause_50,1,875128.8,145.1,192.0,147.3,196.7
pause_50,2,874989.5,145.1,190.9,147.3,195.7
pause_50,3,874484.1,145.2,191.8,147.4,196.4
pause_50,4,876291.7,144.9,191.2,147.1,195.8
pause_50,5,876477.7,144.8,190.2,147.1,195.3
pause_50,6,874501.6,145.2,190.8,147.3,195.6
pause_50,7,876145.3,144.9,191.3,147.1,195.9
pause_50,8,874779.5,145.1,191.1,147.3,195.9
pause_50,9,874464.9,145.2,192.0,147.4,196.6
pause_50,10,875101.5,145.1,190.7,147.3,195.7
pause_60,1,872235.4,145.5,191.3,147.7,196.1
pause_60,2,872385.8,145.5,191.4,147.7,196.1
pause_60,3,871891.5,145.6,191.4,147.8,196.3
pause_60,4,871328.7,145.7,191.5,147.9,196.2
pause_60,5,870289.9,145.9,191.2,148.1,196.2
pause_60,6,873120.2,145.4,190.7,147.6,195.4
pause_60,7,871010.5,145.7,190.9,148.0,195.8
pause_60,8,872605.9,145.5,191.0,147.7,196.2
pause_60,9,871593.6,145.6,192.2,147.9,196.7
pause_60,10,874650.3,145.2,231.0,147.3,235.5
pause_70,1,875902.0,144.9,188.7,147.1,191.7
pause_70,2,876604.2,144.8,190.8,147.0,195.8
pause_70,3,876882.6,144.8,189.0,147.0,193.7
pause_70,4,875529.5,145.0,189.1,147.2,194.3
pause_70,5,878527.6,144.5,189.0,146.7,194.0
pause_70,6,875407.3,145.0,189.3,147.2,194.7
pause_70,7,876092.2,144.9,190.8,147.1,195.6
pause_70,8,878848.5,144.5,188.9,146.6,193.3
pause_70,9,877226.2,144.7,189.0,146.9,194.2
pause_70,10,878105.0,144.6,189.0,146.8,194.4
pause_80,1,879440.7,144.4,188.6,146.5,191.0
pause_80,2,877736.9,144.6,188.8,146.8,192.6
pause_80,3,878934.1,144.4,188.9,146.6,193.4
pause_80,4,878154.4,144.6,189.3,146.7,194.6
pause_80,5,878263.9,144.5,188.6,146.7,191.5
pause_80,6,878768.4,144.5,188.4,146.6,189.3
pause_80,7,879015.0,144.4,188.6,146.6,190.9
pause_80,8,887258.4,143.1,187.9,145.2,188.8
pause_80,9,890387.3,142.6,187.9,144.7,188.8
pause_80,10,891472.8,142.4,187.5,144.5,188.5
pause_90,1,893058.6,142.2,222.8,144.2,225.7
pause_90,2,891094.7,142.5,242.9,144.5,246.1
pause_90,3,889232.6,142.8,241.7,144.8,244.0
pause_90,4,892680.8,142.3,227.6,144.3,230.8
pause_90,5,889611.5,142.8,245.1,144.7,247.7
pause_90,6,891824.7,142.4,226.3,144.4,229.3
pause_90,7,892460.8,142.3,201.5,144.3,204.1
pause_90,8,889255.8,142.8,188.0,144.9,188.8
pause_90,9,890748.5,142.6,187.8,144.6,188.7
pause_90,10,889253.8,142.8,187.7,144.9,188.6
pause_100,1,892219.5,142.3,187.0,144.4,188.1
pause_100,2,891121.3,142.5,188.1,144.6,188.9
pause_100,3,890524.8,142.6,187.8,144.7,188.7
pause_100,4,891335.0,142.5,187.8,144.5,188.7
pause_100,5,891925.5,142.3,187.3,144.5,188.3
pause_100,6,891680.0,142.4,187.7,144.5,188.7
pause_100,7,890626.8,142.5,188.1,144.7,188.9
pause_100,8,903039.9,140.6,187.5,142.7,188.4
pause_100,9,904901.5,140.3,185.9,142.4,187.3
pause_100,10,904410.4,140.4,187.6,142.4,188.5
pause_200,1,902438.7,140.7,187.1,142.8,188.2
pause_200,2,903033.2,140.6,186.3,142.7,187.6
pause_200,3,902742.5,140.6,186.9,142.7,188.1
pause_200,4,903242.2,140.6,186.2,142.6,187.6
pause_200,5,903164.7,140.6,186.5,142.7,187.8
pause_200,6,902320.1,140.7,186.1,142.8,187.5
pause_200,7,903140.9,140.6,186.7,142.7,187.9
pause_200,8,904030.8,140.5,187.6,142.5,188.5
pause_200,9,903202.1,140.6,186.7,142.6,187.9
pause_200,10,903125.5,140.6,186.5,142.6,187.8
pause_300,1,891927.2,142.4,188.4,144.4,189.2
pause_300,2,893691.0,142.1,188.3,144.2,189.0
pause_300,3,893129.1,142.2,188.5,144.2,190.1
pause_300,4,892813.4,142.2,188.1,144.3,188.9
pause_300,5,892632.3,142.2,187.3,144.3,188.3
pause_300,6,892349.9,142.3,188.0,144.4,188.8
pause_300,7,892615.9,142.3,188.1,144.3,188.9
pause_300,8,893158.6,142.2,187.5,144.2,188.5
pause_300,9,893625.1,142.1,188.9,144.2,192.7
pause_300,10,894509.6,142.0,188.0,144.0,188.8
pause_400,1,892155.6,142.3,187.8,144.4,188.7
pause_400,2,892233.9,142.3,187.9,144.4,188.7
pause_400,3,892832.0,142.2,187.8,144.3,188.7
pause_400,4,892581.0,142.2,188.3,144.4,189.1
pause_400,5,892549.9,142.3,188.0,144.4,188.8
pause_400,6,892865.0,142.2,187.8,144.3,188.7
pause_400,7,891896.8,142.4,188.9,144.4,193.3
pause_400,8,891989.2,142.4,187.9,144.4,188.8
pause_400,9,891988.6,142.3,188.2,144.5,189.0
pause_400,10,894334.7,142.0,188.0,144.1,188.8
pause_500,1,900421.6,141.0,188.1,143.1,188.9
pause_500,2,902759.6,140.7,186.9,142.7,188.1
pause_500,3,901268.4,140.9,186.8,142.9,188.0
pause_500,4,901058.4,140.9,188.1,143.0,188.9
pause_500,5,902217.2,140.7,187.6,142.8,188.6
pause_500,6,900435.4,141.0,187.6,143.1,188.5
pause_500,7,899410.9,141.2,187.7,143.2,188.6
pause_500,8,900352.8,141.0,188.0,143.1,188.8
pause_500,9,899485.7,141.1,187.7,143.3,188.7
pause_500,10,899787.5,141.1,187.6,143.2,188.6
pause_600,1,896189.3,141.7,188.3,143.8,189.2
pause_600,2,895611.5,141.8,189.0,143.9,193.7
pause_600,3,895608.7,141.8,188.0,143.8,188.9
pause_600,4,895378.9,141.8,188.1,143.9,188.9
pause_600,5,897467.0,141.5,188.1,143.6,189.0
pause_600,6,897547.4,141.5,187.7,143.5,188.6
pause_600,7,897223.3,141.6,209.8,143.5,211.4
pause_600,8,895289.1,141.8,188.3,143.9,189.1
pause_600,9,898447.0,141.3,186.8,143.4,187.9
pause_600,10,896489.1,141.6,187.9,143.7,188.8
pause_700,1,895546.9,141.8,188.6,143.9,191.4
pause_700,2,894532.2,141.9,188.4,144.0,189.7
pause_700,3,896386.9,141.7,188.0,143.7,188.8
pause_700,4,896175.6,141.7,188.1,143.8,188.9
pause_700,5,894124.0,142.0,188.2,144.1,189.0
pause_700,6,893924.7,142.1,188.0,144.1,188.8
pause_700,7,895243.3,141.9,187.8,143.8,188.6
pause_700,8,893991.0,142.0,187.7,144.1,188.6
pause_700,9,893509.4,142.1,188.5,144.2,190.9
pause_700,10,896390.5,141.6,188.0,143.7,188.9
pause_800,1,901169.3,140.9,187.6,143.0,188.5
pause_800,2,898453.9,141.3,187.5,143.4,188.5
pause_800,3,899517.5,141.2,188.1,143.2,188.9
pause_800,4,899602.5,141.1,186.9,143.2,188.1
pause_800,5,900046.5,141.1,187.0,143.2,188.1
pause_800,6,898353.8,141.3,187.5,143.4,188.5
pause_800,7,899004.6,141.2,188.1,143.3,188.9
pause_800,8,899775.7,141.1,187.7,143.2,188.6
