PAUSE_COUNT,run,QPS
0,1,171804.5
0,2,172399.2
0,3,170841.5
0,4,172978.7
0,5,171543.2
10,1,175930.2
10,2,173657.3
10,3,173872.7
10,4,173735.8
10,5,174976.6
20,1,177580.0
20,2,176223.2
20,3,175441.8
20,4,173484.4
20,5,175332.9
30,1,177005.3
30,2,177160.6
30,3,178193.5
30,4,176223.1
30,5,180523.8
40,1,182368.6
40,2,181092.2
40,3,180733.8
40,4,180174.5
40,5,182311.9
50,1,181299.0
50,2,180451.0
50,3,182438.7
50,4,177605.0
50,5,181942.3
60,1,182180.4
60,2,181463.4
60,3,181188.4
60,4,182260.4
60,5,181318.5
70,1,182946.9
70,2,179444.6
70,3,181425.0
70,4,180553.8
70,5,179484.8
80,1,180206.0
80,2,180096.3
80,3,177339.5
80,4,178354.1
80,5,179234.3
90,1,180564.8
90,2,179592.8
90,3,180284.4
90,4,180727.4
90,5,180500.5
100,1,182117.0
100,2,181243.6
100,3,178741.1
100,4,180774.3
100,5,179606.0
