ratio,run,QPS
get0_set100,1,177518.1
get0_set100,2,176834.0
get0_set100,3,177020.9
get0_set100,4,177019.2
get0_set100,5,176412.5
get100_set0,1,180408.3
get100_set0,2,180831.7
get100_set0,3,179512.7
get100_set0,4,181189.3
get100_set0,5,179861.2
get10_set90,1,180905.8
get10_set90,2,179526.3
get10_set90,3,177273.1
get10_set90,4,176549.3
get10_set90,5,177799.7
get30_set70,1,177958.6
get30_set70,2,177824.4
get30_set70,3,179209.5
get30_set70,4,179830.0
get30_set70,5,177240.5
get50_set50,1,178649.2
get50_set50,2,180422.1
get50_set50,3,178140.2
get50_set50,4,177385.4
get50_set50,5,177408.5
get70_set30,1,178053.1
get70_set30,2,181619.0
get70_set30,3,180042.3
get70_set30,4,178094.8
get70_set30,5,181236.1
get90_set10,1,177611.3
get90_set10,2,180350.1
get90_set10,3,179491.9
get90_set10,4,181435.8
get90_set10,5,180002.4
