pause_count,run,QPS
0,1,180456.8
0,2,181104.1
0,3,179264.2
0,4,179444.8
0,5,181196.9
0,6,180150.5
0,7,179989.1
0,8,179854.6
0,9,179985.3
0,10,181580.8
10,1,180914.8
10,2,178673.9
10,3,178203.5
10,4,177044.1
10,5,180061.4
10,6,179068.2
10,7,181634.2
10,8,180464.8
10,9,181862.4
10,10,178870.0
40,1,179475.4
40,2,180739.4
40,3,176737.5
40,4,179111.8
40,5,178475.7
40,6,179797.9
40,7,181134.7
40,8,181006.1
40,9,177598.3
40,10,179578.1
100,1,180005.1
100,2,180881.2
100,3,179933.5
100,4,179352.4
100,5,178011.4
100,6,178918.5
100,7,179103.8
100,8,180656.5
100,9,179547.6
100,10,179401.0
