ratio,run,QPS
get0_set100,1,179400.0
get0_set100,2,178948.9
get0_set100,3,178299.0
get0_set100,4,177954.2
get0_set100,5,176623.9
get0_set100,6,178067.4
get0_set100,7,174979.8
get0_set100,8,176760.7
get0_set100,9,177392.7
get0_set100,10,177000.7
get100_set0,1,183019.8
get100_set0,2,181821.9
get100_set0,3,180031.7
get100_set0,4,182158.9
get100_set0,5,182101.6
get100_set0,6,180038.7
get100_set0,7,179824.8
get100_set0,8,182370.7
get100_set0,9,181126.2
get100_set0,10,179092.2
get10_set90,1,180388.4
get10_set90,2,179694.6
get10_set90,3,177962.0
get10_set90,4,177982.0
get10_set90,5,177215.2
get10_set90,6,176855.1
get10_set90,7,179272.4
get10_set90,8,177807.8
get10_set90,9,178973.2
get10_set90,10,178884.1
get30_set70,1,177233.5
get30_set70,2,177516.6
get30_set70,3,178305.4
get30_set70,4,179195.4
get30_set70,5,177917.0
get30_set70,6,179666.0
get30_set70,7,177981.3
get30_set70,8,175145.0
get30_set70,9,179113.5
get30_set70,10,180314.3
get50_set50,1,179314.5
get50_set50,2,180631.0
get50_set50,3,179962.7
get50_set50,4,180419.8
get50_set50,5,179651.3
get50_set50,6,180348.7
get50_set50,7,178625.2
get50_set50,8,180532.4
get50_set50,9,178963.7
get50_set50,10,179518.5
get70_set30,1,180783.3
get70_set30,2,179180.8
get70_set30,3,180059.9
get70_set30,4,180528.2
get70_set30,5,178311.3
get70_set30,6,180957.0
get70_set30,7,180417.5
get70_set30,8,180499.5
get70_set30,9,180387.1
get70_set30,10,181683.1
get90_set10,1,181206.0
get90_set10,2,182426.0
get90_set10,3,180072.8
get90_set10,4,177468.4
get90_set10,5,179311.7
get90_set10,6,180500.0
get90_set10,7,181891.0
get90_set10,8,182195.6
get90_set10,9,182051.6
get90_set10,10,180094.3
