mc_threads,mc_cpus,mut_threads,mut_conns,total_conns,depth,in_flight,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
4,0-3,4,1,4,1,4,1,116255.6,33.5,40.6,35.1,42.6
4,0-3,4,1,4,1,4,2,116627.2,33.4,40.5,35.0,42.6
4,0-3,4,1,4,1,4,3,115597.1,33.7,40.6,35.3,42.9
4,0-3,4,1,4,1,4,4,116286.7,33.5,40.5,35.0,42.6
4,0-3,4,1,4,1,4,5,114838.4,34.0,40.7,35.4,43.0
4,0-3,4,1,4,2,8,1,211480.1,37.4,46.8,38.0,49.7
4,0-3,4,1,4,2,8,2,210616.9,37.5,47.0,38.2,49.8
4,0-3,4,1,4,2,8,3,213508.4,37.0,46.5,37.7,49.6
4,0-3,4,1,4,2,8,4,212907.3,37.3,46.7,37.7,49.7
4,0-3,4,1,4,2,8,5,212351.5,37.4,46.8,37.8,49.7
4,0-3,4,1,4,4,16,1,362809.3,43.7,59.5,44.3,62.4
4,0-3,4,1,4,4,16,2,360005.6,44.0,59.6,44.6,62.7
4,0-3,4,1,4,4,16,3,362860.2,43.7,59.5,44.3,62.4
4,0-3,4,1,4,4,16,4,360384.2,43.9,59.7,44.6,62.9
4,0-3,4,1,4,4,16,5,363190.7,43.6,59.4,44.3,62.3
4,0-3,4,1,4,6,24,1,470036.4,50.5,73.5,51.4,77.4
4,0-3,4,1,4,6,24,2,470461.1,50.4,73.4,51.4,77.3
4,0-3,4,1,4,6,24,3,469547.2,50.5,73.5,51.5,77.4
4,0-3,4,1,4,6,24,4,468168.9,50.7,73.6,51.6,77.4
4,0-3,4,1,4,6,24,5,469055.9,50.6,73.3,51.5,77.3
4,0-3,4,1,4,8,32,1,538040.6,58.8,87.0,59.9,90.6
4,0-3,4,1,4,8,32,2,543398.7,58.2,86.8,59.4,90.3
4,0-3,4,1,4,8,32,3,543204.9,58.2,86.7,59.4,90.2
4,0-3,4,1,4,8,32,4,543952.9,58.1,86.7,59.3,90.2
4,0-3,4,1,4,8,32,5,541393.5,58.4,86.9,59.6,90.6
4,0-3,4,1,4,12,48,1,633007.6,75.0,114.6,76.5,116.8
4,0-3,4,1,4,12,48,2,631677.0,75.1,114.9,76.6,117.1
4,0-3,4,1,4,12,48,3,626524.6,75.8,115.1,77.2,117.1
4,0-3,4,1,4,12,48,4,628550.5,75.6,115.0,77.0,117.1
4,0-3,4,1,4,12,48,5,633072.4,75.0,114.8,76.5,117.0
4,0-3,4,1,4,16,64,1,679297.0,93.2,141.3,95.0,146.2
4,0-3,4,1,4,16,64,2,680091.7,93.1,141.2,94.9,145.9
4,0-3,4,1,4,16,64,3,678941.0,93.2,141.4,95.1,146.5
4,0-3,4,1,4,16,64,4,680075.5,93.1,141.1,94.9,145.8
4,0-3,4,1,4,16,64,5,679833.0,93.1,141.3,95.0,146.1
4,0-3,4,1,4,24,96,1,691439.2,137.3,207.5,140.1,213.2
4,0-3,4,1,4,24,96,2,691512.6,137.3,207.2,140.1,212.1
4,0-3,4,1,4,24,96,3,692979.6,137.0,207.3,139.8,212.3
4,0-3,4,1,4,24,96,4,691719.5,137.3,207.7,140.1,213.4
4,0-3,4,1,4,24,96,5,691591.3,137.3,206.8,140.1,210.9
4,0-3,4,1,4,32,128,1,695815.8,182.2,272.0,185.5,274.9
4,0-3,4,1,4,32,128,2,694231.6,182.6,271.7,185.9,274.6
4,0-3,4,1,4,32,128,3,694419.8,182.6,271.7,185.8,274.6
4,0-3,4,1,4,32,128,4,693752.5,182.7,271.2,186.1,274.2
4,0-3,4,1,4,32,128,5,689528.0,183.9,273.5,187.2,276.1
4,0-3,4,1,4,48,192,1,685846.8,278.2,404.8,281.4,411.2
4,0-3,4,1,4,48,192,2,685073.4,278.5,408.7,281.8,416.0
4,0-3,4,1,4,48,192,3,684685.1,278.7,405.1,282.0,412.6
4,0-3,4,1,4,48,192,4,685876.8,278.2,406.0,281.5,413.5
4,0-3,4,1,4,48,192,5,684896.5,278.6,404.8,281.9,411.3
4,0-3,4,1,4,64,256,1,685048.9,371.9,515.7,375.3,520.2
4,0-3,4,1,4,64,256,2,685971.9,371.4,513.6,374.8,518.4
4,0-3,4,1,4,64,256,3,683759.1,372.6,517.5,376.0,522.0
4,0-3,4,1,4,64,256,4,683164.9,372.9,519.5,376.3,523.8
4,0-3,4,1,4,64,256,5,679597.5,374.9,517.2,378.3,521.7
4,0-3,4,1,4,96,384,1,665976.7,574.6,749.4,578.4,755.8
4,0-3,4,1,4,96,384,2,664384.2,576.0,750.7,579.8,757.4
4,0-3,4,1,4,96,384,3,663925.0,576.4,753.5,580.1,759.5
4,0-3,4,1,4,96,384,4,657786.3,581.8,761.2,585.6,766.1
4,0-3,4,1,4,96,384,5,648362.0,590.2,770.6,594.1,774.3
4,0-3,4,1,4,128,512,1,647073.9,789.3,1024.2,793.0,1028.0
4,0-3,4,1,4,128,512,2,644395.3,792.6,1020.5,796.3,1024.6
4,0-3,4,1,4,128,512,3,642898.4,794.5,1026.0,798.1,1029.5
4,0-3,4,1,4,128,512,4,643567.6,793.6,1025.7,797.3,1029.2
4,0-3,4,1,4,128,512,5,647999.9,788.2,1023.5,791.8,1027.3
4,0-3,8,1,8,1,8,1,114384.2,68.3,48.7,71.0,53.2
4,0-3,8,1,8,1,8,2,115245.0,67.6,48.2,70.7,52.9
4,0-3,8,1,8,1,8,3,114563.6,68.2,48.4,71.0,52.7
4,0-3,8,1,8,1,8,4,113466.7,69.3,49.0,71.2,52.9
4,0-3,8,1,8,1,8,5,114265.8,68.5,48.9,71.1,53.2
4,0-3,8,1,8,2,16,1,207413.8,76.3,65.9,77.5,105.8
4,0-3,8,1,8,2,16,2,209227.3,75.8,65.8,76.7,81.5
4,0-3,8,1,8,2,16,3,206967.3,76.5,66.3,77.6,99.1
4,0-3,8,1,8,2,16,4,210280.7,75.5,63.8,76.2,68.9
4,0-3,8,1,8,2,16,5,208361.1,75.9,63.6,77.2,80.6
4,0-3,8,1,8,4,32,1,357288.1,88.8,3112.8,89.9,3124.5
4,0-3,8,1,8,4,32,2,355390.7,89.6,3122.6,90.0,3122.1
4,0-3,8,1,8,4,32,3,357667.6,88.7,3107.6,89.8,3119.2
4,0-3,8,1,8,4,32,4,359384.9,88.4,3108.7,89.2,3116.5
4,0-3,8,1,8,4,32,5,358346.5,88.3,3106.1,89.8,3124.9
4,0-3,8,1,8,6,48,1,456526.7,104.4,3244.0,105.5,3251.8
4,0-3,8,1,8,6,48,2,463109.3,102.5,3230.6,104.4,3244.9
4,0-3,8,1,8,6,48,3,462159.3,102.8,3230.4,104.5,3245.6
4,0-3,8,1,8,6,48,4,461241.2,103.0,3232.5,104.8,3248.1
4,0-3,8,1,8,6,48,5,463340.6,102.8,3231.4,104.0,3241.7
4,0-3,8,1,8,8,64,1,533146.9,119.1,4018.0,120.6,4022.1
4,0-3,8,1,8,8,64,2,532189.5,119.1,4018.1,121.0,4023.6
4,0-3,8,1,8,8,64,3,526751.9,120.3,4021.2,122.3,4029.5
4,0-3,8,1,8,8,64,4,532031.8,119.3,4019.7,120.9,4026.1
4,0-3,8,1,8,8,64,5,538300.6,117.8,4014.3,119.5,4021.2
4,0-3,8,1,8,12,96,1,622073.7,152.9,4113.0,155.3,4118.5
4,0-3,8,1,8,12,96,2,621566.6,153.3,4114.9,155.2,4117.9
4,0-3,8,1,8,12,96,3,617044.2,154.1,4116.6,156.7,4122.5
4,0-3,8,1,8,12,96,4,624209.7,152.5,4112.5,154.7,4118.2
4,0-3,8,1,8,12,96,5,623893.4,152.4,4112.3,155.0,4118.2
4,0-3,8,1,8,16,128,1,667159.2,190.3,4179.0,193.0,4183.2
4,0-3,8,1,8,16,128,2,667689.0,190.2,4178.1,192.8,4182.0
4,0-3,8,1,8,16,128,3,647673.7,195.2,4184.7,199.7,4191.5
