total_conns,mut_conns,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
4,1,1,114061.7,34.2,38.2,35.7,39.9
4,1,2,113864.5,34.4,38.4,35.7,39.9
4,1,3,113973.9,34.3,38.4,35.7,39.9
8,2,1,169097.4,46.8,54.8,47.6,55.1
8,2,2,164851.1,48.0,59.3,48.8,59.5
8,2,3,163962.1,48.1,59.9,49.2,60.1
16,4,1,193240.4,82.2,111.5,83.2,111.9
16,4,2,188765.4,83.7,115.1,85.6,115.4
16,4,3,187753.5,84.3,114.7,85.9,115.0
32,8,1,201991.8,157.4,225.2,159.2,225.7
32,8,2,207084.3,153.7,221.7,155.1,222.3
32,8,3,209482.2,152.0,219.1,153.3,219.9
64,16,1,216318.1,295.2,428.2,296.2,429.4
64,16,2,218448.6,292.3,427.1,293.4,428.3
64,16,3,214729.1,297.6,432.8,298.3,433.6
128,32,1,223817.8,571.5,823.7,572.0,825.5
128,32,2,226734.8,564.2,819.7,564.7,821.6
128,32,3,225327.5,567.7,825.2,568.2,826.9
256,64,1,230490.4,1110.2,1576.2,1110.9,1580.2
256,64,2,227444.6,1125.1,1592.5,1125.7,1595.6
256,64,3,229102.4,1117.0,1588.7,1117.5,1591.3
