total_conns,mut_conns,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
2,1,1,58936.2,33.8,37.2,0.0,0.0
2,1,2,59743.3,33.4,36.6,0.0,0.0
2,1,3,59511.8,33.5,36.9,0.0,0.0
4,2,1,89440.9,44.6,50.4,0.0,0.0
4,2,2,89269.9,44.7,58.4,0.0,0.0
4,2,3,91552.6,43.6,46.1,0.0,0.0
8,4,1,102284.2,78.1,108.9,0.0,0.0
8,4,2,103242.5,77.4,105.6,0.0,0.0
8,4,3,101726.7,78.5,107.5,0.0,0.0
16,8,1,108171.8,147.8,212.4,0.0,0.0
16,8,2,109512.9,146.0,209.3,0.0,0.0
16,8,3,109479.6,146.0,207.5,0.0,0.0
32,16,1,110771.4,288.8,413.7,0.0,0.0
32,16,2,111299.7,287.4,412.7,0.0,0.0
32,16,3,109514.1,292.1,416.3,0.0,0.0
64,32,1,112248.3,570.0,592.8,0.0,0.0
64,32,2,109288.1,585.5,629.7,0.0,0.0
64,32,3,113178.4,565.3,592.5,0.0,0.0
128,64,1,115669.0,1106.5,1151.5,0.0,0.0
128,64,2,113920.7,1123.5,1152.5,0.0,0.0
128,64,3,115117.2,1111.8,1151.7,0.0,0.0
