label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p50_us,r_p99_us,r_p999_us,w_avg_us,w_p50_us,w_p99_us,w_p999_us
master,master,30,0,1,718195.4,176.5,174.8,263.1,307.8,179.8,178.1,267.9,315.9
master,master,30,0,2,721148.0,175.8,174.0,263.3,309.0,179.0,177.3,267.9,317.0
master,master,30,0,3,721384.3,175.7,173.9,262.7,308.4,179.0,177.2,267.4,316.2
master,master,30,0,4,721042.1,175.8,174.0,263.1,308.4,179.1,177.4,267.8,316.4
master,master,30,0,5,721504.2,175.7,174.0,261.6,305.0,178.9,177.3,266.5,313.1
master,master,30,0,6,719800.2,176.1,174.3,263.7,308.8,179.4,177.7,268.2,315.5
master,master,30,0,7,721518.4,175.7,173.9,262.2,305.5,178.9,177.2,267.1,313.4
master,master,30,0,8,721824.7,175.7,174.0,259.1,303.3,178.7,177.1,264.6,307.9
master,master,30,0,9,722403.7,175.6,173.8,259.6,303.5,178.6,177.0,265.0,308.7
master,master,30,0,10,721377.9,175.7,174.0,261.9,306.4,178.9,177.3,266.8,314.1
master,master,30,0,11,722493.8,175.4,173.6,262.1,306.7,178.7,177.0,267.1,313.8
master,master,30,0,12,722467.8,175.5,173.7,261.8,307.2,178.7,177.0,266.8,315.2
master,master,30,0,13,722620.7,175.4,173.6,262.2,307.8,178.7,176.9,267.0,315.3
master,master,30,0,14,721775.4,175.6,173.8,262.5,306.5,178.9,177.2,267.4,314.6
master,master,30,0,15,721773.0,175.6,173.8,262.6,307.1,178.9,177.2,267.4,314.9
master,master,30,0,16,721535.2,175.7,173.9,263.1,307.8,178.9,177.2,267.8,315.9
master,master,30,0,17,722738.8,175.4,173.6,262.3,307.6,178.6,176.9,267.2,315.3
master,master,30,0,18,721958.5,175.6,173.7,263.2,308.6,178.8,177.1,267.9,316.0
master,master,30,0,19,722469.7,175.5,173.7,261.9,304.4,178.7,177.0,266.7,312.8
master,master,30,0,20,722103.0,175.5,173.8,262.4,307.8,178.8,177.1,267.3,315.7
master,master,30,0,21,721708.8,175.6,173.9,262.7,307.1,178.9,177.2,267.5,315.5
master,master,30,0,22,722538.8,175.4,173.6,262.0,306.1,178.7,177.0,267.0,313.9
master,master,30,0,23,721892.3,175.6,173.9,260.9,304.4,178.8,177.2,266.1,312.2
master,master,30,0,24,721857.3,175.6,173.8,262.7,307.7,178.9,177.2,267.4,315.2
master,master,30,0,25,720641.8,175.9,174.1,263.0,307.8,179.2,177.4,267.8,315.2
master,master,30,0,26,720656.2,175.9,174.1,263.4,307.9,179.1,177.4,268.0,315.5
