label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
N0,0,30,0,1,889602.8,142.8,201.9,144.7,203.8
N0,0,30,0,2,890011.0,142.8,202.0,144.7,204.0
N0,0,30,0,3,890433.5,142.7,201.1,144.6,203.2
N0,0,30,0,4,889924.6,142.8,201.9,144.7,203.8
N0,0,30,0,5,890735.3,142.7,201.0,144.5,203.1
N0,0,30,0,6,889868.3,142.9,199.8,144.6,202.1
N0,0,30,0,7,890819.6,142.7,201.5,144.5,203.5
N0,0,30,0,8,889946.1,142.8,201.8,144.7,203.7
N0,0,30,0,9,890549.8,142.7,201.6,144.6,203.6
N0,0,30,0,10,889871.7,142.8,201.7,144.7,203.6
N0,0,30,0,11,890275.2,142.7,201.3,144.6,203.3
N0,0,30,0,12,889063.7,142.9,201.6,144.8,203.6
N0,0,30,0,13,890125.4,142.8,201.4,144.6,203.5
N0,0,30,0,14,890444.9,142.7,200.6,144.6,202.8
N0,0,30,0,15,890640.6,142.7,200.0,144.5,202.3
N0,0,30,0,16,889645.4,142.8,201.9,144.7,203.8
N0,0,30,0,17,889517.1,142.9,201.9,144.7,203.8
N0,0,30,0,18,890461.7,142.7,201.3,144.6,203.3
N0,0,30,0,19,888733.5,143.0,201.4,144.9,203.4
N0,0,30,0,20,890133.1,142.8,201.3,144.6,203.4
N1,1,30,30,1,931891.1,136.3,174.8,138.2,179.0
N1,1,30,30,2,931112.0,136.4,174.7,138.3,178.9
N1,1,30,30,3,931651.7,136.4,173.2,138.2,177.6
N1,1,30,30,4,930786.3,136.4,176.2,138.4,179.9
N1,1,30,30,5,932307.1,136.2,175.1,138.2,179.1
N1,1,30,30,6,932808.2,136.1,175.1,138.1,179.1
N1,1,30,30,7,931925.9,136.3,175.0,138.2,179.1
N1,1,30,30,8,931078.1,136.4,176.5,138.4,180.2
N1,1,30,30,9,930714.3,136.4,175.3,138.4,179.3
N1,1,30,30,10,931567.7,136.3,175.7,138.3,179.6
N1,1,30,30,11,931957.6,136.3,176.4,138.2,180.2
N1,1,30,30,12,931113.1,136.4,175.5,138.4,179.4
N1,1,30,30,13,932350.7,136.2,175.7,138.2,179.6
N1,1,30,30,14,933189.1,136.1,173.3,138.0,177.9
N1,1,30,30,15,931364.9,136.3,176.3,138.3,180.0
N1,1,30,30,16,931269.9,136.4,175.7,138.3,179.6
N1,1,30,30,17,931272.7,136.4,176.3,138.3,180.1
N1,1,30,30,18,931822.5,136.3,175.2,138.3,179.3
N1,1,30,30,19,930767.0,136.4,175.5,138.4,179.5
N1,1,30,30,20,931245.2,136.4,175.7,138.3,179.6
N2,2,30,60,1,1026623.0,123.8,155.3,125.3,155.9
N2,2,30,60,2,1024786.0,124.0,155.5,125.6,156.1
N2,2,30,60,3,1023145.3,124.2,155.5,125.8,156.1
N2,2,30,60,4,1023942.9,124.1,155.5,125.7,156.1
N2,2,30,60,5,1022085.2,124.3,155.6,125.9,156.2
N2,2,30,60,6,1023901.9,124.1,155.5,125.7,156.1
N2,2,30,60,7,1021480.6,124.4,155.7,126.0,156.2
N2,2,30,60,8,1021799.7,124.4,155.6,126.0,156.2
N2,2,30,60,9,1021617.0,124.4,155.6,126.0,156.1
N2,2,30,60,10,1022696.5,124.3,155.5,125.9,156.1
N2,2,30,60,11,1022178.8,124.3,155.7,125.9,156.2
N2,2,30,60,12,1024660.4,124.0,155.4,125.6,156.0
N2,2,30,60,13,1022079.6,124.3,155.6,126.0,156.2
N2,2,30,60,14,1022205.3,124.3,155.6,125.9,156.2
N2,2,30,60,15,1022172.3,124.3,155.6,125.9,156.2
N2,2,30,60,16,1022832.8,124.2,155.5,125.9,156.1
N2,2,30,60,17,1024556.7,124.0,155.5,125.6,156.1
N2,2,30,60,18,1023092.0,124.2,155.5,125.8,156.1
N2,2,30,60,19,1023837.2,124.1,155.5,125.7,156.1
N2,2,30,60,20,1023571.9,124.1,155.6,125.8,156.1
N3,3,30,90,1,1048420.2,121.2,154.3,122.8,155.2
N3,3,30,90,2,1046144.9,121.5,154.4,123.0,155.3
N3,3,30,90,3,1046954.7,121.4,154.3,122.9,155.2
N3,3,30,90,4,1046454.9,121.4,154.5,123.0,155.3
N3,3,30,90,5,1046000.6,121.5,154.4,123.1,155.3
N3,3,30,90,6,1047380.2,121.3,154.3,122.9,155.2
N3,3,30,90,7,1046486.5,121.4,154.4,123.0,155.3
N3,3,30,90,8,1046146.9,121.5,154.4,123.0,155.2
N3,3,30,90,9,1048368.3,121.2,154.2,122.8,155.1
N3,3,30,90,10,1046732.3,121.4,154.3,123.0,155.2
N3,3,30,90,11,1047513.0,121.3,154.3,122.9,155.2
N3,3,30,90,12,1048093.4,121.3,154.3,122.8,155.1
N3,3,30,90,13,1048804.0,121.1,154.2,122.7,155.1
N3,3,30,90,14,1047391.5,121.3,154.3,122.9,155.2
N3,3,30,90,15,1047587.8,121.3,154.3,122.9,155.2
N3,3,30,90,16,1048016.4,121.3,154.1,122.8,155.0
N3,3,30,90,17,1047240.0,121.3,154.4,122.9,155.2
N3,3,30,90,18,1048663.4,121.2,154.2,122.7,155.1
N3,3,30,90,19,1047565.7,121.3,154.3,122.9,155.2
N3,3,30,90,20,1047980.2,121.3,154.1,122.8,155.0
N4,4,30,120,1,1102685.2,115.4,144.8,116.6,147.7
N4,4,30,120,2,1101951.9,115.5,144.8,116.6,147.6
N4,4,30,120,3,1103105.0,115.4,144.7,116.5,147.6
N4,4,30,120,4,1103860.0,115.3,144.1,116.4,147.2
N4,4,30,120,5,1103508.7,115.3,144.0,116.4,147.1
N4,4,30,120,6,1102854.3,115.4,144.7,116.5,147.6
N4,4,30,120,7,1103545.0,115.3,144.4,116.5,147.3
N4,4,30,120,8,1100827.6,115.6,144.9,116.8,147.8
N4,4,30,120,9,1102845.5,115.4,144.5,116.5,147.5
N4,4,30,120,10,1101438.6,115.5,144.8,116.7,147.7
N4,4,30,120,11,1103206.4,115.3,144.2,116.5,147.2
N4,4,30,120,12,1103406.9,115.3,144.3,116.5,147.2
N4,4,30,120,13,1103418.2,115.4,144.2,116.4,147.0
N4,4,30,120,14,1103115.1,115.4,144.5,116.5,147.4
N4,4,30,120,15,1102118.1,115.5,144.9,116.6,147.8
N4,4,30,120,16,1103450.3,115.3,144.6,116.5,147.5
N4,4,30,120,17,1104586.9,115.2,144.0,116.4,147.0
N4,4,30,120,18,1103609.3,115.3,144.4,116.5,147.4
N4,4,30,120,19,1104244.4,115.3,144.1,116.4,147.1
N4,4,30,120,20,1102188.2,115.4,144.9,116.6,147.7
N5,5,30,150,1,1100449.7,115.8,142.0,116.6,144.7
N5,5,30,150,2,1100762.0,115.8,142.0,116.6,144.5
N5,5,30,150,3,1099870.0,115.9,142.0,116.7,144.5
N5,5,30,150,4,1099610.8,115.9,142.1,116.7,144.9
N5,5,30,150,5,1100313.9,115.8,142.1,116.6,144.9
N5,5,30,150,6,1100874.5,115.8,142.0,116.6,144.6
N5,5,30,150,7,1100356.8,115.8,142.0,116.6,144.6
N5,5,30,150,8,1099148.0,115.9,142.2,116.8,144.9
N5,5,30,150,9,1099307.9,115.9,142.4,116.7,145.1
N5,5,30,150,10,1100258.4,115.8,142.0,116.6,144.7
N5,5,30,150,11,1100899.8,115.8,142.0,116.6,144.1
N5,5,30,150,12,1101999.9,115.7,142.0,116.4,144.0
