label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,r_p999_us,w_avg_us,w_p99_us,w_p999_us
master,master,30,0,1,691243.4,183.4,330.5,550.7,186.7,334.8,559.4
master,master,30,0,2,691123.3,183.5,322.7,543.6,186.7,327.3,551.2
master,master,30,0,3,671034.2,189.2,478.0,1817.6,192.1,482.3,1870.2
master,master,30,0,4,691107.0,183.4,356.2,587.3,186.8,361.2,591.6
master,master,30,0,5,690054.6,183.7,343.4,591.7,187.0,349.1,600.2
master,master,30,0,6,687748.1,184.4,444.2,761.2,187.7,451.2,776.0
master,master,30,0,7,687752.2,184.3,483.1,812.9,187.7,488.0,827.3
master,master,30,0,8,689947.5,183.8,413.0,695.4,187.0,418.7,703.3
master,master,30,0,9,692598.7,183.1,338.3,568.2,186.4,344.2,576.9
master,master,30,0,10,690531.9,183.7,365.6,618.1,186.8,370.6,628.3
N0,0,30,0,1,846107.3,150.3,308.5,737.1,152.0,311.0,739.7
N0,0,30,0,2,854478.2,148.8,373.9,992.7,150.6,380.7,995.9
N0,0,30,0,3,854061.9,148.8,428.9,1085.9,150.7,434.7,1097.9
N0,0,30,0,4,857288.0,148.3,450.9,1119.4,150.1,457.5,1126.2
N0,0,30,0,5,853811.8,148.9,328.8,811.4,150.7,331.3,814.9
N0,0,30,0,6,860515.7,147.8,563.4,1278.6,149.5,569.7,1289.6
N0,0,30,0,7,859086.6,148.0,572.4,1286.0,149.7,578.6,1292.2
N0,0,30,0,8,857928.3,148.3,610.4,1355.8,149.9,614.6,1366.1
N0,0,30,0,9,853303.2,149.0,284.6,858.1,150.8,288.5,863.5
N0,0,30,0,10,854756.6,148.7,328.0,891.7,150.6,332.7,900.1
N2,2,30,60,1,971409.4,130.9,207.8,477.1,132.4,210.6,479.6
N2,2,30,60,2,970989.6,130.9,208.3,491.1,132.5,211.7,493.5
N2,2,30,60,3,970765.0,130.9,218.7,530.0,132.6,221.1,532.3
N2,2,30,60,4,969977.7,131.1,211.2,468.7,132.6,214.0,471.1
N2,2,30,60,5,972810.5,130.6,179.0,444.8,132.3,181.7,450.2
N2,2,30,60,6,974826.7,130.4,170.2,336.0,132.0,171.2,339.5
N2,2,30,60,7,974624.9,130.4,171.1,395.0,132.1,172.2,398.0
N2,2,30,60,8,973698.9,130.5,195.8,503.8,132.2,198.8,504.7
N2,2,30,60,9,970617.0,131.0,219.6,539.6,132.6,222.1,541.3
N2,2,30,60,10,972672.1,130.7,220.6,486.0,132.3,222.3,486.7
N4,4,30,120,1,1050255.4,121.2,156.1,299.0,122.3,158.2,300.3
N4,4,30,120,2,1049124.4,121.3,156.7,339.0,122.5,159.8,341.7
N4,4,30,120,3,1048723.5,121.4,159.8,351.5,122.5,162.5,353.1
N4,4,30,120,4,1048626.1,121.4,156.2,321.2,122.5,159.2,323.6
N4,4,30,120,5,1048151.5,121.4,158.0,342.6,122.6,160.9,344.3
N4,4,30,120,6,1049041.5,121.3,156.1,311.8,122.5,158.1,312.8
N4,4,30,120,7,1047421.5,121.5,158.7,304.0,122.7,161.3,306.4
N4,4,30,120,8,1048326.7,121.4,157.7,319.8,122.6,160.6,322.5
N4,4,30,120,9,1051037.9,121.1,156.0,298.4,122.3,157.8,300.4
N4,4,30,120,10,1047602.8,121.5,156.3,307.5,122.7,159.5,311.4
N10,10,30,300,1,1070914.1,118.9,155.2,278.7,119.9,155.7,280.0
N10,10,30,300,2,1070395.0,119.0,155.0,268.7,120.0,155.6,270.1
N10,10,30,300,3,1072165.7,118.8,154.7,251.1,119.8,155.4,253.4
N10,10,30,300,4,1072891.7,118.7,154.8,259.3,119.7,155.5,261.4
N10,10,30,300,5,1072697.8,118.7,154.7,239.3,119.7,155.4,241.5
N10,10,30,300,6,1072468.7,118.7,154.9,262.0,119.8,155.5,263.4
N10,10,30,300,7,1072818.8,118.7,154.8,259.2,119.7,155.4,261.0
N10,10,30,300,8,1073099.8,118.7,154.5,234.6,119.7,155.2,237.3
N10,10,30,300,9,1074058.8,118.5,154.5,248.0,119.6,155.2,249.7
N10,10,30,300,10,1073782.4,118.6,154.4,235.2,119.6,155.1,237.4
N30,30,30,900,1,1008059.1,126.6,177.3,259.3,127.2,178.9,260.4
N30,30,30,900,2,1008177.1,126.5,177.0,259.3,127.2,178.8,260.9
N30,30,30,900,3,1008397.2,126.5,177.6,259.5,127.2,179.3,260.9
N30,30,30,900,4,1008072.8,126.5,177.8,266.9,127.2,179.4,267.8
N30,30,30,900,5,1009572.5,126.3,176.9,255.9,127.0,178.6,257.8
N30,30,30,900,6,1008376.3,126.5,177.1,259.1,127.2,178.9,260.3
N30,30,30,900,7,1009174.5,126.4,176.6,250.9,127.1,178.4,251.9
N30,30,30,900,8,1009020.2,126.4,176.3,259.6,127.1,178.1,260.8
N30,30,30,900,9,1008740.6,126.4,177.2,258.3,127.1,178.9,260.1
N30,30,30,900,10,1008301.1,126.5,177.5,255.3,127.2,179.2,257.4
N100,100,30,3000,1,901520.5,141.7,243.9,438.0,142.0,244.4,438.9
N100,100,30,3000,2,901998.7,141.6,243.8,436.7,142.0,244.3,438.4
N100,100,30,3000,3,901059.3,141.8,243.6,444.0,142.1,244.2,444.6
N100,100,30,3000,4,901951.9,141.6,243.4,435.5,142.0,243.9,435.8
N100,100,30,3000,5,901383.2,141.7,243.9,435.5,142.1,244.4,436.0
N100,100,30,3000,6,902167.1,141.6,243.5,441.6,141.9,244.3,442.1
N100,100,30,3000,7,901200.1,141.8,244.0,442.1,142.1,244.5,443.2
N100,100,30,3000,8,901694.5,141.7,243.3,440.3,142.0,243.9,441.7
N100,100,30,3000,9,901560.1,141.7,243.6,439.3,142.1,244.1,439.7
N100,100,30,3000,10,899357.6,142.0,245.8,473.7,142.4,246.2,476.6
N200,200,30,6000,1,782637.4,163.4,326.5,690.2,163.5,326.6,691.1
N200,200,30,6000,2,781587.1,163.6,327.7,699.3,163.8,328.1,700.8
N200,200,30,6000,3,782589.9,163.3,326.2,685.5,163.6,326.4,687.7
N200,200,30,6000,4,782066.6,163.5,327.3,691.8,163.7,327.7,693.1
N200,200,30,6000,5,782723.4,163.3,326.4,695.9,163.5,326.6,697.0
N200,200,30,6000,6,781794.6,163.5,327.1,696.0,163.7,327.3,695.5
N200,200,30,6000,7,782813.7,163.3,326.0,682.1,163.5,326.1,681.9
N200,200,30,6000,8,782254.9,163.4,326.0,685.1,163.6,326.4,685.8
N200,200,30,6000,9,782039.2,163.4,327.2,694.1,163.7,327.7,695.2
N200,200,30,6000,10,781796.7,163.5,326.7,681.8,163.7,327.1,683.6
