label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p50_us,r_p99_us,r_p999_us,w_avg_us,w_p50_us,w_p99_us,w_p999_us
master,master,30,0,1,1093933.7,116.1,114.4,174.8,203.9,117.8,116.1,178.0,205.4
master,master,30,0,2,1093363.9,116.1,114.5,174.3,203.5,117.8,116.1,177.5,205.0
master,master,30,0,3,1092179.9,116.3,114.7,173.9,203.2,117.9,116.3,177.3,204.8
master,master,30,0,4,1093601.0,116.1,114.5,175.3,204.2,117.8,116.1,178.4,205.6
master,master,30,0,5,1094332.5,116.0,114.4,174.5,203.6,117.7,116.0,177.9,205.3
master,master,30,0,6,1094167.6,116.1,114.5,173.8,203.3,117.7,116.0,177.2,204.9
master,master,30,0,7,1094457.4,116.0,114.4,174.5,203.7,117.7,116.0,177.8,205.3
master,master,30,0,8,1093926.4,116.1,114.4,175.0,203.9,117.8,116.0,178.3,205.5
master,master,30,0,9,1093318.0,116.2,114.5,174.3,203.7,117.8,116.1,177.7,205.3
master,master,30,0,10,1092762.7,116.2,114.6,173.0,202.6,117.9,116.2,176.5,204.3
master,master,30,0,11,1093062.2,116.2,114.6,173.7,203.2,117.8,116.1,177.1,204.8
master,master,30,0,12,1094006.0,116.1,114.5,173.0,202.6,117.7,116.0,176.5,204.2
master,master,30,0,13,1093721.7,116.1,114.5,174.7,203.8,117.8,116.1,178.0,205.3
master,master,30,0,14,1093900.7,116.1,114.5,172.7,202.7,117.7,116.0,176.2,204.3
master,master,30,0,15,1094696.9,116.0,114.4,172.6,202.5,117.7,116.0,176.1,204.2
master,master,30,0,16,1093028.2,116.2,114.6,174.2,203.6,117.9,116.2,177.6,205.1
master,master,30,0,17,1094494.8,116.0,114.4,173.3,202.8,117.7,116.0,176.7,204.5
master,master,30,0,18,1094550.7,116.0,114.4,174.5,203.7,117.7,116.0,177.7,205.2
master,master,30,0,19,1093850.3,116.1,114.4,175.2,204.0,117.8,116.0,178.4,205.6
master,master,30,0,20,1095009.1,116.0,114.4,172.3,202.5,117.6,115.9,176.0,204.2
master,master,30,0,21,1094282.4,116.0,114.4,175.1,204.1,117.7,116.0,178.4,205.6
master,master,30,0,22,1092822.0,116.2,114.6,174.5,203.6,117.9,116.1,177.8,205.1
master,master,30,0,23,1095627.0,115.9,114.3,174.2,203.6,117.6,115.9,177.6,205.2
master,master,30,0,24,1094405.6,116.0,114.4,174.6,203.7,117.7,116.0,177.8,205.3
master,master,30,0,25,1095960.6,115.9,114.2,174.3,203.5,117.5,115.8,177.7,205.2
master,master,30,0,26,1096532.2,115.8,114.2,172.3,202.4,117.5,115.8,176.1,204.2
master,master,30,0,27,1098059.4,115.7,114.1,172.2,202.3,117.3,115.6,175.8,204.0
master,master,30,0,28,1095807.6,115.9,114.3,173.6,203.3,117.6,115.9,177.1,204.9
master,master,30,0,29,1097453.3,115.7,114.1,174.1,203.4,117.4,115.7,177.5,205.0
master,master,30,0,30,1099518.9,115.5,113.9,172.8,202.8,117.1,115.5,176.4,204.5
N0,0,30,0,1,1077796.4,118.0,116.6,167.4,191.0,119.3,118.0,168.7,193.8
N0,0,30,0,2,1078076.1,118.0,116.5,167.7,191.2,119.3,117.9,168.9,194.2
N0,0,30,0,3,1080020.6,117.8,116.3,168.1,191.8,119.1,117.6,169.3,194.9
N0,0,30,0,4,1079653.6,117.8,116.4,167.3,189.6,119.1,117.8,168.6,193.2
N0,0,30,0,5,1080304.7,117.7,116.2,168.1,192.1,119.1,117.6,169.4,194.8
N0,0,30,0,6,1079646.5,117.8,116.4,167.5,190.5,119.1,117.7,168.8,193.7
N0,0,30,0,7,1079996.4,117.8,116.3,168.1,191.9,119.1,117.7,169.3,194.7
N0,0,30,0,8,1079197.4,117.9,116.4,167.8,191.0,119.2,117.8,169.0,194.0
N0,0,30,0,9,1078875.4,117.9,116.5,166.8,188.9,119.2,117.9,168.1,191.7
N0,0,30,0,10,1078698.8,117.9,116.5,166.8,189.4,119.2,117.9,168.2,192.6
N0,0,30,0,11,1079977.5,117.8,116.3,167.9,191.5,119.1,117.7,169.1,194.3
N0,0,30,0,12,1079587.4,117.8,116.4,167.0,189.2,119.1,117.8,168.4,192.6
N0,0,30,0,13,1080883.9,117.7,116.2,168.0,191.5,119.0,117.5,169.3,194.6
N0,0,30,0,14,1081644.1,117.6,116.2,167.1,189.3,118.9,117.5,168.5,192.8
N0,0,30,0,15,1081902.7,117.6,116.2,166.7,189.0,118.9,117.5,168.1,192.2
N0,0,30,0,16,1080942.9,117.7,116.3,166.2,188.8,119.0,117.7,167.7,191.3
N0,0,30,0,17,1081121.7,117.7,116.3,166.9,189.0,119.0,117.6,168.2,192.1
N0,0,30,0,18,1080042.6,117.8,116.3,168.0,191.3,119.1,117.7,169.2,194.5
N0,0,30,0,19,1080608.2,117.7,116.2,167.7,190.7,119.0,117.6,169.0,193.7
N0,0,30,0,20,1081073.4,117.6,116.2,167.5,190.3,119.0,117.6,168.8,193.4
N0,0,30,0,21,1080313.1,117.7,116.3,167.1,189.9,119.1,117.7,168.5,193.3
N0,0,30,0,22,1080283.5,117.8,116.3,167.1,189.3,119.1,117.7,168.4,192.3
N0,0,30,0,23,1079960.5,117.8,116.4,166.5,189.0,119.1,117.8,168.0,192.0
N0,0,30,0,24,1080610.6,117.7,116.3,167.2,189.5,119.0,117.7,168.5,192.6
N0,0,30,0,25,1080391.6,117.7,116.3,167.3,189.7,119.1,117.7,168.6,192.7
N0,0,30,0,26,1080583.1,117.7,116.3,167.3,189.9,119.0,117.6,168.6,192.8
N0,0,30,0,27,1081778.9,117.6,116.1,167.5,190.4,118.9,117.5,168.8,193.5
N0,0,30,0,28,1082505.8,117.5,116.0,167.6,190.4,118.8,117.4,168.9,193.5
N0,0,30,0,29,1081603.5,117.6,116.2,166.7,189.0,118.9,117.5,168.1,191.9
N0,0,30,0,30,1081604.9,117.6,116.1,167.6,191.0,118.9,117.5,168.9,194.0
N1,1,30,30,1,1097741.4,115.7,115.1,152.6,176.3,117.3,116.7,153.9,178.8
N1,1,30,30,2,1098481.0,115.6,115.0,153.5,178.5,117.2,116.6,154.6,180.7
N1,1,30,30,3,1096559.5,115.9,115.3,152.2,174.8,117.4,116.9,153.6,177.5
N1,1,30,30,4,1098253.0,115.7,115.1,152.1,175.2,117.2,116.7,153.5,177.7
N1,1,30,30,5,1098340.6,115.7,115.0,153.3,178.4,117.3,116.6,154.5,180.6
N1,1,30,30,6,1096989.8,115.8,115.2,153.0,177.4,117.4,116.8,154.3,179.9
N1,1,30,30,7,1097362.7,115.8,115.2,152.5,177.1,117.3,116.8,153.9,179.5
N1,1,30,30,8,1096924.4,115.8,115.2,153.6,178.4,117.4,116.8,154.7,180.6
N1,1,30,30,9,1098420.6,115.6,115.0,153.7,178.6,117.2,116.6,154.8,180.9
N1,1,30,30,10,1097880.8,115.7,115.1,152.3,175.3,117.3,116.7,153.7,178.1
N1,1,30,30,11,1098014.0,115.7,115.0,153.6,178.8,117.3,116.6,154.7,181.0
N1,1,30,30,12,1096436.6,115.9,115.2,153.6,179.1,117.5,116.8,154.7,181.3
N1,1,30,30,13,1096216.2,115.9,115.2,153.6,178.8,117.5,116.8,154.8,181.1
N1,1,30,30,14,1096129.6,115.9,115.3,152.5,176.2,117.5,116.9,153.9,178.7
N1,1,30,30,15,1098163.1,115.7,115.1,152.2,175.6,117.3,116.7,153.6,178.2
N1,1,30,30,16,1098413.5,115.6,115.0,153.5,178.4,117.2,116.6,154.7,180.7
N1,1,30,30,17,1097308.6,115.8,115.2,152.5,176.8,117.3,116.7,153.8,179.2
N1,1,30,30,18,1097895.9,115.7,115.1,153.2,178.1,117.3,116.7,154.4,180.4
N1,1,30,30,19,1098103.5,115.7,115.0,153.7,178.9,117.3,116.6,154.8,181.1
N1,1,30,30,20,1098098.9,115.7,115.0,153.3,178.0,117.3,116.7,154.5,180.4
N1,1,30,30,21,1097209.7,115.8,115.2,152.4,175.6,117.3,116.8,153.7,178.2
N1,1,30,30,22,1096827.4,115.8,115.2,152.8,176.4,117.4,116.8,154.1,178.8
