pause_per_round,spin_rounds,run,QPS
0,30,1,180842.2
0,30,2,179900.4
0,30,3,181097.4
0,30,4,180604.9
0,30,5,179801.3
1,30,1,178068.8
1,30,2,180962.5
1,30,3,181347.5
1,30,4,181971.4
1,30,5,178399.7
2,30,1,179790.0
2,30,2,180147.7
2,30,3,182095.2
2,30,4,180519.6
2,30,5,178650.2
3,30,1,180565.2
3,30,2,181075.4
3,30,3,180463.6
3,30,4,180013.8
3,30,5,181761.5
5,30,1,181684.7
5,30,2,182505.7
5,30,3,179212.0
5,30,4,181140.3
5,30,5,181292.4
7,30,1,180897.5
7,30,2,180191.2
7,30,3,180751.5
7,30,4,179506.9
7,30,5,181433.5
10,30,1,177223.2
10,30,2,178234.1
10,30,3,179362.9
10,30,4,178339.9
10,30,5,180982.5
15,30,1,178866.8
15,30,2,178893.3
15,30,3,179129.2
15,30,4,175430.2
15,30,5,179058.2
20,30,1,177630.9
20,30,2,178459.8
20,30,3,179777.4
20,30,4,178072.6
20,30,5,177158.1
30,30,1,176160.1
30,30,2,174176.7
30,30,3,174523.3
30,30,4,174945.5
30,30,5,174928.0
