label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,master,30,0,1,706603.3,180.1,251.2,181.9,255.5
master,master,30,0,2,706661.9,180.0,251.3,181.9,256.1
master,master,30,0,3,706291.8,180.2,251.2,182.0,255.7
master,master,30,0,4,705088.7,180.7,250.3,182.1,251.6
master,master,30,0,5,706150.0,180.2,251.6,182.1,257.3
master,master,30,0,6,706443.3,180.1,251.4,182.0,256.4
master,master,30,0,7,706073.7,180.3,251.2,182.0,255.4
master,master,30,0,8,706299.2,180.2,251.0,182.0,254.8
master,master,30,0,9,706327.8,180.2,251.0,182.0,255.0
master,master,30,0,10,706289.1,180.2,251.4,182.0,256.5
master,master,30,0,11,706549.0,180.1,251.4,182.0,256.2
master,master,30,0,12,705836.7,180.3,251.0,182.1,254.8
master,master,30,0,13,705979.2,180.2,251.3,182.1,255.8
master,master,30,0,14,706892.6,180.0,251.1,181.9,255.1
master,master,30,0,15,706463.9,180.1,250.9,182.0,254.4
master,master,30,0,16,706782.5,180.0,251.2,181.9,255.7
master,master,30,0,17,705752.4,180.3,250.9,182.1,254.3
master,master,30,0,18,705592.9,180.4,251.1,182.2,255.0
master,master,30,0,19,706966.7,180.0,251.2,181.9,255.6
master,master,30,0,20,706289.9,180.2,251.4,182.0,256.4
N0,0,30,0,1,952786.4,134.1,175.8,134.3,177.3
N0,0,30,0,2,949090.8,134.7,174.2,134.8,175.8
N0,0,30,0,3,949001.8,134.7,175.1,134.8,176.6
N0,0,30,0,4,954135.0,133.9,177.0,134.1,178.4
N0,0,30,0,5,942840.6,135.7,174.6,135.6,176.0
N0,0,30,0,6,945724.8,135.2,175.1,135.2,176.5
N0,0,30,0,7,950464.3,134.5,176.2,134.6,177.6
N0,0,30,0,8,947438.3,135.0,175.7,135.0,177.1
N0,0,30,0,9,948244.5,134.8,176.4,134.9,177.8
N0,0,30,0,10,944110.8,135.4,175.3,135.5,176.7
N0,0,30,0,11,950545.9,134.4,176.5,134.6,178.0
N0,0,30,0,12,954441.1,133.9,178.1,134.1,179.4
N0,0,30,0,13,949009.5,134.7,175.5,134.8,177.0
N0,0,30,0,14,955190.1,133.8,178.0,134.0,179.4
N0,0,30,0,15,954601.9,133.9,176.9,134.0,178.4
N0,0,30,0,16,947789.7,134.9,175.5,134.9,176.9
N0,0,30,0,17,946801.1,135.0,174.5,135.1,176.1
N0,0,30,0,18,931279.5,137.4,172.8,137.2,174.2
N0,0,30,0,19,946480.0,135.1,174.7,135.1,176.2
N0,0,30,0,20,943877.6,135.5,174.5,135.4,175.8
N1,1,30,30,1,942462.0,135.6,176.6,135.7,178.0
N1,1,30,30,2,939943.2,136.0,175.2,136.1,176.7
N1,1,30,30,3,939252.2,136.1,175.4,136.2,176.8
N1,1,30,30,4,944924.4,135.2,177.2,135.4,178.6
N1,1,30,30,5,939691.7,136.0,174.6,136.1,176.2
N1,1,30,30,6,945526.6,135.1,177.9,135.4,179.3
N1,1,30,30,7,933659.6,136.9,173.0,136.9,174.5
N1,1,30,30,8,944309.0,135.3,177.9,135.5,179.3
N1,1,30,30,9,945481.6,135.1,178.6,135.4,180.0
N1,1,30,30,10,944132.4,135.3,176.8,135.5,178.3
N1,1,30,30,11,937273.3,136.4,174.9,136.4,176.2
N1,1,30,30,12,932375.6,137.1,173.1,137.2,174.7
N1,1,30,30,13,937671.4,136.3,173.0,136.4,174.6
N1,1,30,30,14,907354.3,141.1,171.6,140.8,171.8
N1,1,30,30,15,935102.7,136.7,174.0,136.8,175.6
N1,1,30,30,16,946160.0,135.0,177.6,135.3,179.1
N1,1,30,30,17,927568.9,138.0,172.9,137.7,174.1
N1,1,30,30,18,928970.0,137.7,171.8,137.6,173.0
N1,1,30,30,19,929111.9,137.6,173.0,137.6,174.4
N1,1,30,30,20,942552.8,135.6,176.6,135.7,177.9
N2,2,30,60,1,958562.7,133.4,171.0,133.4,171.3
N2,2,30,60,2,958787.2,133.4,171.1,133.4,171.4
N2,2,30,60,3,957354.8,133.6,170.8,133.5,171.1
N2,2,30,60,4,949392.4,134.8,170.5,134.6,170.8
N2,2,30,60,5,963409.4,132.7,171.2,132.8,171.5
N2,2,30,60,6,962292.5,132.8,171.1,132.9,171.4
N2,2,30,60,7,942269.0,135.8,170.3,135.6,170.5
N2,2,30,60,8,955879.9,133.8,170.8,133.8,171.2
N2,2,30,60,9,957602.4,133.5,171.0,133.5,171.3
N2,2,30,60,10,964465.5,132.5,171.7,132.7,172.8
