label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,master,30,0,1,673199.5,188.5,269.6,191.5,272.7
master,master,30,0,2,674350.3,188.2,268.8,191.2,272.2
master,master,30,0,3,673886.3,188.3,269.2,191.3,272.4
master,master,30,0,4,675386.1,187.9,268.8,190.9,272.2
master,master,30,0,5,674026.6,188.3,269.2,191.3,272.5
master,master,30,0,6,674154.6,188.3,269.0,191.2,272.4
master,master,30,0,7,673739.9,188.4,269.3,191.4,272.5
master,master,30,0,8,673980.0,188.3,269.2,191.3,272.5
master,master,30,0,9,674106.3,188.3,269.2,191.3,272.5
master,master,30,0,10,673804.8,188.4,269.2,191.3,272.5
master,master,30,0,11,673108.3,188.5,269.7,191.5,272.9
master,master,30,0,12,673449.4,188.4,269.4,191.4,272.6
master,master,30,0,13,672851.6,188.6,269.7,191.6,272.9
master,master,30,0,14,673847.9,188.3,269.2,191.3,272.5
master,master,30,0,15,673631.5,188.4,269.2,191.4,272.5
master,master,30,0,16,674301.4,188.2,268.9,191.2,272.3
master,master,30,0,17,674272.1,188.2,269.2,191.2,272.5
master,master,30,0,18,673744.3,188.4,269.3,191.3,272.5
master,master,30,0,19,674205.5,188.2,269.2,191.2,272.5
master,master,30,0,20,672880.0,188.6,269.6,191.6,272.8
N0,0,30,0,1,903741.8,141.0,185.2,142.0,186.3
N0,0,30,0,2,903717.7,141.0,185.6,142.1,186.7
N0,0,30,0,3,902897.8,141.1,185.8,142.2,186.9
N0,0,30,0,4,903301.7,141.1,185.2,142.1,186.4
N0,0,30,0,5,904480.4,140.8,185.6,142.0,186.7
N0,0,30,0,6,903367.3,141.0,185.8,142.1,186.9
N0,0,30,0,7,903055.5,141.0,185.8,142.2,186.9
N0,0,30,0,8,905204.4,140.7,185.4,141.9,186.5
N0,0,30,0,9,902082.4,141.2,185.9,142.3,187.0
N0,0,30,0,10,903114.4,141.0,185.9,142.2,187.0
N0,0,30,0,11,903706.2,140.9,185.7,142.1,186.8
N0,0,30,0,12,904169.8,140.9,185.6,142.0,186.7
N0,0,30,0,13,902832.2,141.1,185.8,142.2,186.9
N0,0,30,0,14,903062.5,141.1,185.7,142.2,186.8
N0,0,30,0,15,900933.8,141.4,186.2,142.5,187.2
N0,0,30,0,16,902811.0,141.1,185.8,142.2,186.9
N0,0,30,0,17,905202.7,140.7,185.3,141.8,186.4
N0,0,30,0,18,903085.4,141.0,185.8,142.2,186.9
N0,0,30,0,19,902754.4,141.1,185.8,142.2,186.9
N0,0,30,0,20,904347.1,140.9,185.6,142.0,186.7
N1,1,30,30,1,943893.8,134.9,167.1,136.0,168.5
N1,1,30,30,2,942509.9,135.2,167.6,136.2,168.9
N1,1,30,30,3,945071.5,134.8,167.1,135.9,168.5
N1,1,30,30,4,942423.3,135.2,167.6,136.1,168.7
N1,1,30,30,5,942293.9,135.2,167.7,136.3,169.0
N1,1,30,30,6,942146.1,135.2,167.7,136.3,169.0
N1,1,30,30,7,944307.6,134.9,167.4,136.0,168.7
N1,1,30,30,8,943160.9,135.0,167.5,136.1,168.9
N1,1,30,30,9,943772.4,134.9,167.6,136.1,168.9
N1,1,30,30,10,943529.7,135.0,167.5,136.1,168.8
N1,1,30,30,11,944511.6,134.8,167.3,135.9,168.7
N1,1,30,30,12,941940.9,135.2,167.7,136.3,169.0
N1,1,30,30,13,943931.9,134.9,167.6,136.1,168.9
N1,1,30,30,14,943988.6,134.9,167.5,136.0,168.8
N1,1,30,30,15,943587.0,135.0,167.4,136.1,168.7
N1,1,30,30,16,943412.9,135.0,167.4,136.1,168.7
N1,1,30,30,17,942485.5,135.1,167.6,136.3,168.9
N1,1,30,30,18,942118.3,135.2,167.7,136.3,169.0
N1,1,30,30,19,944004.6,134.9,167.4,136.0,168.8
N1,1,30,30,20,942619.0,135.1,167.6,136.2,168.9
N2,2,30,60,1,1027905.6,124.1,152.9,124.7,153.7
N2,2,30,60,2,1029252.9,123.9,152.8,124.5,153.6
N2,2,30,60,3,1030857.4,123.8,152.5,124.3,153.3
N2,2,30,60,4,1029217.0,123.9,152.8,124.6,153.6
N2,2,30,60,5,1026537.9,124.3,153.1,124.9,153.8
