pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
3,30,90,1,1025726.9,124.0,171.0,125.4,171.8
3,30,90,2,1028452.1,123.6,160.0,125.1,163.4
3,30,90,3,1027556.8,123.7,161.9,125.2,164.7
3,30,90,4,1026964.4,123.8,165.6,125.2,167.5
3,30,90,5,1026946.4,123.8,160.5,125.3,163.7
3,30,90,6,1027648.6,123.7,165.8,125.2,167.7
3,30,90,7,1027144.5,123.8,161.1,125.2,164.2
3,30,90,8,1028774.3,123.6,160.7,125.1,163.9
3,30,90,9,1027481.2,123.7,160.6,125.2,163.8
3,30,90,10,1026787.1,123.8,169.3,125.3,170.5
