label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,r_p999_us,thread_0_reqs,thread_1_reqs,thread_2_reqs,thread_3_reqs
master,master,30,0,1,687121.6,184.6,492.3,2017.7,0,0,0,0
master,master,30,0,2,690612.6,183.6,475.8,1976.5,0,0,0,0
N0,0,30,0,1,866227.6,146.8,592.2,1832.2,6862766,6670865,6538669,6778594
N0,0,30,0,2,865149.6,147.0,602.4,1867.0,6491782,6833497,6803724,6688962
N4,4,30,120,1,1007335.7,126.5,431.6,1102.3,7862913,7950020,7939639,7618716
N4,4,30,120,2,1004554.3,126.8,455.6,1138.3,7891156,8004045,7839758,7526630
N30,30,30,900,1,968614.1,131.7,511.1,1398.0,7573595,7396586,7484577,7656573
N30,30,30,900,2,954659.4,133.7,464.0,1400.8,7817627,7340450,7287160,7241777
N200,200,30,6000,1,748039.8,170.8,825.9,2511.3,5817505,5764742,5749779,5764157
N200,200,30,6000,2,745232.2,171.4,858.1,2404.1,5717463,5733115,5826015,5734255
