condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0217,0.0350,0.0650,0.1133,0.4617,1.1233,1.7100,4.7217,18.7000,464.8867
N1,4194304,2400.0,0.0233,0.0383,0.0800,0.1717,0.6400,1.4633,2.1783,4.4267,18.8462,1008.1233
N2,4194304,2400.0,0.0233,0.0450,0.0783,0.1883,0.5933,1.3083,1.9033,3.5200,15.4895,598.1250
N3,4194304,2400.0,0.0233,0.0417,0.0783,0.1900,0.5983,1.3133,1.9083,3.4767,16.0778,312.5383
N4,4194304,2400.0,0.0217,0.0517,0.0850,0.2183,0.6817,1.4583,2.0950,3.6467,14.1545,461.6033
N5,4194304,2400.0,0.0217,0.0517,0.0850,0.2133,0.6667,1.4083,2.0067,3.4533,12.6950,388.8483
N6,4194304,2400.0,0.0217,0.0467,0.0833,0.1850,0.6050,1.2767,1.8233,3.1333,12.5717,449.3850
N7,4194304,2400.0,0.0233,0.0500,0.0917,0.2100,0.6750,1.4233,2.0233,3.4600,12.2828,705.7533
N8,4194304,2400.0,0.0233,0.0500,0.0833,0.1883,0.6050,1.2667,1.8033,3.0633,10.2580,303.2717
N9,4194304,2400.0,0.0233,0.0533,0.0850,0.2167,0.6817,1.4217,2.0183,3.4267,7.3478,432.3767
N10,4194304,2400.0,0.0233,0.0467,0.0883,0.2050,0.6467,1.3217,1.8650,3.1383,6.0200,501.6867
N15,4194304,2400.0,0.0233,0.0483,0.0850,0.2283,0.5967,1.2350,1.7133,2.8567,4.9550,795.5250
N20,4194304,2400.0,0.0233,0.0383,0.0733,0.1450,0.5667,1.1217,1.6167,2.6850,4.6000,332.1633
N25,4194304,2400.0,0.0217,0.0350,0.0633,0.1150,0.5133,1.1667,1.6533,2.9083,5.1067,368.6467
N30,4194304,2400.0,0.0217,0.0333,0.0600,0.1100,0.5567,1.1300,1.7967,3.2199,5.7700,603.1067
N35,4194304,2400.0,0.0217,0.0300,0.0567,0.0900,0.4317,1.2050,1.7667,3.2750,5.9617,247.2900
N40,4194304,2400.0,0.0217,0.0300,0.0600,0.1083,0.5367,1.3700,1.9250,3.4767,6.1550,227.6733
N45,4194304,2400.0,0.0217,0.0300,0.0600,0.1083,0.6183,1.4750,1.9617,3.6817,6.2350,271.8367
N50,4194304,2400.0,0.0217,0.0300,0.0517,0.1017,0.5550,1.2667,1.9867,3.5267,5.9467,230.8383
N55,4194304,2400.0,0.0217,0.0300,0.0467,0.1050,0.5917,1.3783,2.1633,3.6500,6.3728,923.5817
N60,4194304,2400.0,0.0217,0.0300,0.0467,0.0850,0.5567,1.4700,2.3517,4.1867,6.9812,573.9700
N65,4194304,2400.0,0.0217,0.0283,0.0383,0.1000,0.5800,1.5667,2.5500,4.7583,8.1667,218.4167
N70,4194304,2400.0,0.0217,0.0283,0.0350,0.0850,0.5933,1.6083,2.6367,5.2917,9.4878,227.8050
N75,4194304,2400.0,0.0217,0.0283,0.0367,0.0767,0.6200,1.2550,2.3683,5.2317,9.7983,354.4767
N80,4194304,2400.0,0.0217,0.0283,0.0367,0.0817,0.6750,1.3500,2.5350,5.5717,10.4450,438.4433
N85,4194304,2400.0,0.0217,0.0283,0.0350,0.0817,0.6983,1.3833,2.5933,5.1983,9.6678,718.1483
N90,4194304,2400.0,0.0217,0.0283,0.0350,0.0767,0.7150,1.4200,2.1700,4.7267,8.6400,395.3250
N95,4194304,2400.0,0.0217,0.0283,0.0350,0.0750,0.7567,1.5067,2.2633,4.4433,7.9167,300.8650
N100,4194304,2400.0,0.0217,0.0283,0.0350,0.0750,0.7883,1.5683,2.3450,4.5500,7.6400,325.8983
N150,4194304,2400.0,0.0217,0.0267,0.0300,0.0633,0.1167,2.2833,3.4083,6.5967,10.9033,290.0967
N200,4194304,2400.0,0.0217,0.0267,0.0283,0.0500,0.1067,1.6367,4.2383,7.3050,12.7733,373.5950
