pause_per_round,spin_rounds,run,OPS
0,30,1,70194.34546604949
0,30,2,73393.65174527046
0,30,3,71684.67177607464
0,30,4,73366.5767296226
0,30,5,71652.37238437959
1,30,1,72455.91763294682
1,30,2,72048.98761156254
1,30,3,72037.60951397449
1,30,4,72179.9720354218
1,30,5,72766.45230082303
2,30,1,74223.46554767375
2,30,2,73116.10948321791
2,30,3,72326.69309437356
2,30,4,72448.84565412933
2,30,5,72982.145236509
3,30,1,72932.43378310844
3,30,2,70355.05580543062
3,30,3,73728.96542535473
3,30,4,70882.92130339175
3,30,5,72639.25358213928
5,30,1,73589.6385140763
5,30,2,71502.08229218725
5,30,3,71381.52677351638
5,30,4,71288.94145870123
5,30,5,71895.44530703362
7,30,1,73243.91869376875
7,30,2,71898.47056079438
7,30,3,71137.73572332911
7,30,4,71789.0336120457
7,30,5,72754.44792430199
10,30,1,70722.86066420173
10,30,2,72954.23965896224
10,30,3,71816.47341063575
10,30,4,73341.55926332968
10,30,5,70850.99293615887
15,30,1,73465.2495502099
15,30,2,72562.7643630308
15,30,3,70198.10126582278
15,30,4,71469.87109023683
15,30,5,71860.40313176745
20,30,1,73203.37175984541
20,30,2,73353.3664256921
20,30,3,73503.24859227668
20,30,4,71600.37317162563
20,30,5,72734.88155132775
30,30,1,71735.53030555462
30,30,2,73367.61276567393
30,30,3,71254.59816073571
30,30,4,72471.79931372222
30,30,5,72235.59005797295
