pause_count,run,OPS,read_avg_us,update_avg_us
0,1,70371.65989205037,221.65159459658653,224.83831102967451
0,2,69829.130999567,217.66945263760982,227.63910840071836
0,3,71948.69744819775,215.63577273055162,220.0462107699255
0,4,71554.57453188513,218.31919852452359,220.90468083849882
0,5,69931.36078901772,221.11502212167184,226.47171733846076
10,1,71468.3282796308,218.13821736225142,221.226702844205
10,2,68828.11459027315,226.37577293489034,229.76581265767817
10,3,71609.84141791044,218.34385643513264,220.7459516278341
10,4,70010.72832678084,223.37252120522422,225.58647872548445
10,5,70722.0815565032,220.11574549993705,223.67164733620984
30,1,70607.57343635516,220.6236015992203,223.9499809304886
30,2,71955.82503248159,216.93620035741375,219.59234847342705
30,3,69492.11955616274,223.0345199941487,227.83417205650866
30,4,70852.68065268065,220.19063861349937,223.0412691553369
30,5,71120.84360631705,219.20286496132016,222.53868995413623
50,1,70580.92668465407,221.45931008095266,223.9515284669743
50,2,70167.67723880598,222.3996872189652,225.30961786338418
50,3,71720.01199520192,217.96642291426969,220.38389309913194
50,4,68741.42067035384,229.34814565705753,229.42672286891593
50,5,70985.3053880244,219.91318070066805,222.60032810880807
70,1,70039.94802425535,221.74792775269557,226.14343669460632
70,2,70670.96451774113,220.71380241804863,223.71629273107874
70,3,71018.59318249975,219.1368776485462,222.96099385779624
70,4,71638.56424599607,217.1917105969418,220.75054590593203
70,5,69492.75265735897,223.203938988579,227.93099522707777
100,1,72244.00319829425,215.38460217853088,219.0393529908959
100,2,68940.43573855687,224.82148445271292,229.4274576846312
100,3,67564.2452515828,233.7927565447539,233.32954158694116
100,4,69311.44646545406,221.23545086677393,228.82497062606765
100,5,70342.24028786566,221.22178984228955,224.95320143556643
